cell-id	consumer-id	polarity	acceptance-name	frozen-input-policy	frozen-failure-policy	production-boundary	witness-source-or-test	execution-recipe	expected-result-or-policy	current-status	evidence	evidence-head	related-gaps	qualification-package
runtime.resolver-memory-insert.positive	runtime.resolver-memory-insert	positive	memory-insert-positive	trimmed	propagate	InMemorySourceResolver::insert_string	src/runtime/src/resolver/memory.rs::insert_string_retains_a_document_without_requiring_canonical_indexing	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib insert_string_retains_a_document_without_requiring_canonical_indexing -- --nocapture	Inserting complete table source retains byte-exact source document and no Program tree; source .index() provides typed index after admission.	recorded-pass	Actual production method is exercised by named test on C, not only canonical helper.	e31d08260fac40bcf7982e854cc5d2623a606347		O04;O05
runtime.resolver-memory-insert.negative	runtime.resolver-memory-insert	negative	memory-insert-negative	trimmed	propagate	InMemorySourceResolver::insert_string	src/runtime/src/resolver/memory.rs::malformed_replacement_is_transactional_and_preserves_the_prior_revision	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib malformed_replacement_is_transactional_and_preserves_the_prior_revision -- --nocapture	Actual insert_string rejects value:=[ replacement and keeps exact previous source, revision and snapshot pointer; no partial entry replacement.	recorded-pass	Actual production method is exercised by named test on C, not only canonical helper.	e31d08260fac40bcf7982e854cc5d2623a606347		O04;O05
runtime.resolver-memory-with.positive	runtime.resolver-memory-with	positive	infallible-builder-positive	trimmed	omit-cache	InMemorySourceResolver::with_string	src/runtime/src/resolver/memory.rs::supports_builder_style_insert	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib supports_builder_style_insert -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_builder_retains_malformed_source_without_publishing_facts -- --nocapture	with_string(main.mec,x:=1) returns resolver containing named source; resolution retains complete source for typed indexing without competing Program cache.	recorded-pass	Actual builder malformed retention test plus shared insert_prepared_string(Ok) fact-isolation test pass in C; omission-of-cache is an intentional diagnostic policy.	e31d08260fac40bcf7982e854cc5d2623a606347		O04;O05
runtime.resolver-memory-with.negative	runtime.resolver-memory-with	negative	infallible-builder-negative	trimmed	omit-cache	InMemorySourceResolver::with_string	src/runtime/src/resolver/memory.rs::builder_preserves_invalid_source_for_canonical_parse_diagnostics	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib builder_preserves_invalid_source_for_canonical_parse_diagnostics -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_builder_retains_malformed_source_without_publishing_facts -- --nocapture	with_string(broken.mec,x:=[) remains resolvable with exact malformed bytes and retained canonical diagnostics; no Program, imports, exports, contexts, scopes or dependencies are published.	recorded-pass	Actual builder malformed retention test plus shared insert_prepared_string(Ok) fact-isolation test pass in C; omission-of-cache is an intentional diagnostic policy.	e31d08260fac40bcf7982e854cc5d2623a606347		O04;O05
serve.workspace-render.positive	serve.workspace-render	positive	served-snapshot-content-and-source-map	raw	render-diagnostic	ServerSourceRegistry::sync_workspace_snapshot -> HTTP routes -> document controller	src/serve.rs::configured_served_root_uses_snapshot_dependencies_and_planning_hosts;tests/mech_serve.rs::mech_serve_process_routes_work_for_sources_directories_and_projects	cargo +nightly-2026-03-03 test --locked -p mech --no-default-features --features distribution-standard --features serve --lib configured_served_root_uses_snapshot_dependencies_and_planning_hosts -- --nocapture; run actual server and GET /main.mec, /code/main.mec, /source/dep.mec, /notes.mec before opening controller in browser.	Main root resource requirement preserves configured timer authority; dep41 is retained in source map; prose notes renders without artifact; dep is not promoted to independent run root; browser root output uses matching accepted snapshot.	blocked	Historical native 90-test server checkpoint is not fresh C evidence; registry assertions cannot prove HTTP/controller loading. Actual document browser phase blocked by G22.		G22	O04;O05
serve.workspace-render.negative	serve.workspace-render	negative	served-error-and-stale-snapshot-atomicity	raw	render-diagnostic	ServerSourceRegistry::sync_workspace_snapshot and actual HTTP/controller publication	src/serve.rs::configured_served_root_uses_snapshot_dependencies_and_planning_hosts	Change disk dep41 to43 without refreshing retained workspace and resync: compare artifact bytes unchanged. Refresh snapshot: require changed artifact revision and stale dependency rejection. Then write malformed main and request page/source/code routes.	No read-ahead to unrelated disk revisions; refreshed bundle carries new dependency identity. Malformed source publishes positioned diagnostic page and does not activate a partial new artifact or replace prior committed output.	blocked	Exact registry stale dependency protocol exists; malformed HTTP publication and accepted browser state are untested; G22 blocks real document loading.		G22	O04;O05
wasm.document-capture.positive	wasm.document-capture	positive	actual-browser-capture-respects-output-owner	fixed-capture	propagate	WasmDocument.fromEncodedWithBundle -> renderedOutput/renderedDocumentValue/document capture	src/wasm/src/canonical_document.rs::canonical_browser_capture_keeps_hidden_disabled_named_and_mika_owners	Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Load root, named worker and Mika-local scopes containing distinct outputs 1/3/4 with hidden root1 and disabled literal2. Query real rendered document values and output-associated DOM.	Hidden root output does not display; disabled literal2 is syntax only; named worker output3 and Mika-local output4 are associated with their actual owner and cannot capture each other or root.	blocked	Prepared renderer test supplies empty placeholder values, not actual execution. C decoder still expects Program; real result/owner assertion requires G22.		G22	O04;O05
wasm.document-capture.negative	wasm.document-capture	negative	actual-browser-rejects-stale-owner-results	fixed-capture	propagate	WasmDocument document-output capture after source replacement	src/wasm/src/canonical_document.rs::canonical_browser_capture_keeps_hidden_disabled_named_and_mika_owners	Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Capture owner results for revision3, replace source with answer5 at revision4, and attempt to apply revision3 capture/output identity.	Stale owner/revision result is rejected; no previous hidden/named/Mika result leaks into new document or becomes root output.	blocked	Prepared renderer rejects mismatched revision; current real bootstrap still uses old Program capture and is unqualified.		G22	O04;O05
wasm.initial-repl-source.positive	wasm.initial-repl-source	positive	actual-bootstrap-retains-original-bytes	trimmed	format-tree-fallback	WasmDocumentBootstrap::initial_repl_source reached through WasmDocument.replSource	src/wasm/src/canonical_document.rs::canonical_browser_source_preserves_exact_text_and_transactional_revisions	"Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Use source ""  value := 1\r\n-- e\u0301\r\n""; call document.replSource() and compare exact UTF-8 bytes before any submission."	Initial browser REPL source is exactly original leading whitespace, CRLF and combining Unicode; no formatter roundtrip or reparsing fallback manufactures source.	blocked	C initial_repl_source now returns source_map text directly; prepared raw-source test passes historically, but actual document construction is blocked.		G22	O04;O05
wasm.initial-repl-source.negative	wasm.initial-repl-source	negative	bootstrap-stale-envelope-cannot-recover-source	trimmed	format-tree-fallback	WasmDocument constructor plus initial source acceptance	src/runtime/src/runtime/program/bundle.rs::canonical_bundle_rejects_stale_source_and_retired_tree_payload	Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Supply canonical artifact envelope for value1 with source map changed to value2, and separately corrupt the embedded source_hash/document_id in the envelope. Attempt constructor/replSource before activation.	Reject mismatched served source or invalid embedded source identity before activation; never format cached Program as fallback. Valid standalone envelope may supply its own embedded root source: missing external root text alone is not a rejection contract.	blocked	C removed formatting fallback from initial_repl_source; integrity must be proven at real loader, not by returning an empty source after a successful stale construction.		G22	O04;O05
wasm.interactive-tree.positive	wasm.interactive-tree	positive	actual-browser-compiles-candidate-source	trimmed	propagate	WasmDocument.replReplaceSource/replInvoke -> bootstrap candidate compiler	src/wasm/src/project.rs::WasmDocumentBootstrap::interactive_tree;src/runtime/src/interactive.rs::canonical_interactive_rewired_projection_uses_the_migrated_epoch	Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Start ~a:=0,~b:=100,a+=1,b+=2,display:=a+10; step twice, replace display with b+10 using replReplaceSource and inspect replSource/renderedSymbol.	a3,b106 survive; display=ans116 and exact candidate text accepted. New candidate syntax is compiled; cached bootstrap Program is not reused.	blocked	C interactive_tree explicitly ignores candidate_source and clones initial Program (project.rs:588–591). Native session tests cannot qualify this path.		G22	O04;O05
wasm.interactive-tree.negative	wasm.interactive-tree	negative	actual-browser-bad-candidate-keeps-accepted-program	trimmed	propagate	WasmDocument.replReplaceSource/replInvoke accepted-candidate lifecycle	src/runtime/src/interactive.rs::canonical_interactive_matrix_projection_and_failed_candidate_preserve_state	Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. With accepted values[3;4], submit bad:=undefined-call(values), then malformed value:=[; inspect source, output and next valid turn.	Error response preserves accepted source, state, selection and output; no partial candidate activation. Next valid step publishes values[4;5].	blocked	Native session failure test passes; actual C browser bootstrap source is ignored and requires adoption before this product assertion.		G22	O04;O05
wasm.mixed-compute-source.positive	wasm.mixed-compute-source	positive	complete-source-browser-cpu-and-webgpu	trimmed	map-js-error	WasmMixedComputeProject.fromSource -> configured browser compute bridge	scripts/smoke-canonical-compute-browser.py;scripts/smoke-gpu-particles-browser.py;examples/gpu-particles/particles.mec	python3 scripts/smoke-canonical-compute-browser.py --timeout 120; python3 scripts/smoke-gpu-particles-browser.py --backend gpu --particle-count 1000000 --timeout 180; repeat CPU using --backend cpu with the same complete configured source.	Canonical non-square batch source publishes exact expected successive matrices on CPU/WebGPU. Full checked-in particle source initializes and advances under actual pointer/compute config and publishes retained outputs; no extracted region or replaced source body.	untested	Historical B browser evidence exists. Isolated C wasm build passes but is not execution; exact C full-source CPU/WebGPU product run is unrecorded.			O04;O05
wasm.mixed-compute-source.negative	wasm.mixed-compute-source	negative	browser-unsupported-target-error-without-publication	trimmed	map-js-error	WasmMixedComputeProject.fromSource and completeComputeCommand	src/wasm/src/mixed_compute.rs::hard_region_placement_conflicts_are_reported_by_browser_compiler;scripts/test-browser-compute-lifecycle.mjs	In real browser call fromSource with complete configured source mutated to conflicting hard placement and with malformed source; then reject/abort an actual pending compute completion and attempt a valid next frame.	Positioned JsValue error for invalid source or unsupported target before execution; rejected/stale completion does not publish state or advance generation; valid following frame succeeds without stale writes.	untested	Native preparation/lifecycle unit evidence is not this exact WASM entry or rejection/publication protocol.			O04;O05
wasm.repl-format.positive	wasm.repl-format	positive	actual-repl-highlights-without-execution	trimmed	return-none	WasmDocument.replFormatSource	src/wasm/src/canonical_document.rs::canonical_browser_repl_renderer_obeys_admission_contract	"Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Call replFormatSource(""answer := 1 + 1; -- suppress this value""); compare highlighted markup and source/runtime state before and after."	HTML contains mech-code-block and mech-variable-define; semicolon terminal precedes comment; source/runtime/output unchanged because formatting does not compile or run code.	blocked	Actual method now uses canonical retained parse/renderer, but real document instantiation is G22-blocked; prepared renderer test is supplemental.		G22	O04;O05
wasm.repl-format.negative	wasm.repl-format	negative	actual-repl-noncode-returns-none	trimmed	return-none	WasmDocument.replFormatSource	src/wasm/src/canonical_document.rs::canonical_browser_repl_renderer_obeys_admission_contract	Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Call replFormatSource on answer:=[, :help, plain prose., a full mech fence and Mika-only source.	Returns JS undefined/None for every rejected input and leaves document/REPL state unchanged; cannot treat local/display-only code as root executable input.	blocked	Prepared canonical renderer negative cases exist; real method is unrun with current canonical document loader.		G22	O04;O05
wasm.repl-load-documentation.positive	wasm.repl-load-documentation	positive	documentation-request-renders-and-submits-once	raw	map-js-error	WasmDocument.replLoadDocumentation	src/wasm/src/project.rs::WasmDocument::repl_load_documentation	"Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Issue replInvoke("":docs audit/topic"") and read hostRequestId from its returned response. Call replLoadDocumentation with matching ID, topic and complete literate source containing ~counter:=0; counter+=1; fenced counter output."	accepted=true; returned HTML and response correspond to supplied document; exactly one successful host submission; counter advances once; root/fenced/local output identities use the accepted source.	blocked	Current method parses/render canonical source, but submit_host_source still reaches bootstrap/session Program route; no actual browser positive documentation witness exists.		G22	O04;O05
wasm.repl-load-documentation.negative	wasm.repl-load-documentation	negative	documentation-invalid-request-and-source-are-atomic	raw	map-js-error	WasmDocument.replLoadDocumentation	src/wasm/src/project.rs::WasmDocument::repl_load_documentation	Build exact C browser_project_core WASM plus native canonical bundle producer; use tests/browser/harness ChromeSession to import src/wasm/pkg/mech_wasm.js, await init(), and construct WasmDocument from producer envelope and its source map. Call with wrong request ID; then matching ID plus malformed source; then valid syntax using undefined-call. Inspect JS result/error, accepted source, counter and output before/after each.	Wrong request ID or malformed document returns JS error before submission. Semantic failure returns accepted=false and html=null with compile diagnostic; no repeated/partial execution, accepted source/state/output unchanged.	blocked	Code has distinct request/syntax/semantic rejection paths; actual product effects and state preservation remain untested and G22-blocked.		G22	O04;O05
