acceptance-cell	source-ledger	source-ids	primary-review-boundary	supporting-review-boundaries	owning-responsibility	related-gaps
consumer:wasm.document-capture.positive	consumer-acceptance-cells.tsv	wasm.document-capture.positive	R22		WasmDocument.fromEncodedWithBundle -> renderedOutput/renderedDocumentValue/document capture	G22
consumer:wasm.document-capture.negative	consumer-acceptance-cells.tsv	wasm.document-capture.negative	R22		WasmDocument document-output capture after source replacement	G22
consumer:wasm.initial-repl-source.positive	consumer-acceptance-cells.tsv	wasm.initial-repl-source.positive	R22		WasmDocumentBootstrap::initial_repl_source reached through WasmDocument.replSource	G22
consumer:wasm.initial-repl-source.negative	consumer-acceptance-cells.tsv	wasm.initial-repl-source.negative	R22		WasmDocument constructor plus initial source acceptance	G22
consumer:wasm.interactive-tree.positive	consumer-acceptance-cells.tsv	wasm.interactive-tree.positive	R22		WasmDocument.replReplaceSource/replInvoke -> bootstrap candidate compiler	G22
consumer:wasm.interactive-tree.negative	consumer-acceptance-cells.tsv	wasm.interactive-tree.negative	R22		WasmDocument.replReplaceSource/replInvoke accepted-candidate lifecycle	G22
consumer:wasm.mixed-compute-source.positive	consumer-acceptance-cells.tsv	wasm.mixed-compute-source.positive	E10		WasmMixedComputeProject.fromSource -> configured browser compute bridge	""
consumer:wasm.mixed-compute-source.negative	consumer-acceptance-cells.tsv	wasm.mixed-compute-source.negative	E10		WasmMixedComputeProject.fromSource and completeComputeCommand	""
consumer:wasm.repl-format.positive	consumer-acceptance-cells.tsv	wasm.repl-format.positive	R22		WasmDocument.replFormatSource	G22
consumer:wasm.repl-format.negative	consumer-acceptance-cells.tsv	wasm.repl-format.negative	R22		WasmDocument.replFormatSource	G22
consumer:wasm.repl-load-documentation.positive	consumer-acceptance-cells.tsv	wasm.repl-load-documentation.positive	R22		WasmDocument.replLoadDocumentation	G22
consumer:wasm.repl-load-documentation.negative	consumer-acceptance-cells.tsv	wasm.repl-load-documentation.negative	R22		WasmDocument.replLoadDocumentation	G22
catalog:C01	catalog-acceptance-cells.tsv	math/add#0;math/add#1;math/add#2;math/add#3;math/add#4;math/add#5;math/add#6;math/add#7;math/add#8;math/add#9;math/div#0;math/div#1;math/div#2;math/div#3;math/div#4;math/div#5;math/div#6;math/div#7;math/div#8;math/div#9;math/mul#0;math/mul#1;math/mul#2;math/mul#3;math/mul#4;math/mul#5;math/mul#6;math/mul#7;math/mul#8;math/mul#9;math/sub#0;math/sub#1;math/sub#2;math/sub#3;math/sub#4;math/sub#5;math/sub#6;math/sub#7;math/sub#8;math/sub#9	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for math/add;math/div;math/mul;math/sub	""
catalog:C02	catalog-acceptance-cells.tsv	math/pow#0;math/pow#1;math/pow#2;math/pow#3;math/pow#4;math/pow#5;math/pow#6;math/pow#7;math/pow#8;math/pow#9;math/pow#10	R02	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for math/pow	""
catalog:C03	catalog-acceptance-cells.tsv	math/mod#0;math/mod#1;math/mod#2;math/mod#3;math/mod#4;math/mod#5;math/mod#6;math/mod#7;math/mod#8;math/mod#9;math/mod#10;math/mod#11;math/mod#12;math/mod#13;math/mod#14;math/mod#15;math/mod#16;math/mod#17;math/mod#18;math/mod#19	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for math/mod	""
catalog:C04	catalog-acceptance-cells.tsv	math/neg#0;math/neg#1	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for math/neg	""
catalog:C05	catalog-acceptance-cells.tsv	math/abs#0;math/abs#1;math/abs#2;math/abs#3	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for math/abs	""
catalog:C06	catalog-acceptance-cells.tsv	math/acos#0;math/acos#1;math/acosh#0;math/acosh#1;math/acot#0;math/acot#1;math/acsc#0;math/acsc#1;math/asec#0;math/asec#1;math/asin#0;math/asin#1;math/asinh#0;math/asinh#1;math/atan#0;math/atan#1;math/atanh#0;math/atanh#1;math/bessel/j0#0;math/bessel/j0#1;math/bessel/j1#0;math/bessel/j1#1;math/bessel/y0#0;math/bessel/y0#1;math/bessel/y1#0;math/bessel/y1#1;math/cbrt#0;math/cbrt#1;math/ceil#0;math/ceil#1;math/cos#0;math/cos#1;math/cosh#0;math/cosh#1;math/cot#0;math/cot#1;math/csc#0;math/csc#1;math/erf#0;math/erf#1;math/erfc#0;math/erfc#1;math/floor#0;math/floor#1;math/lgamma#0;math/lgamma#1;math/log#0;math/log#1;math/log10#0;math/log10#1;math/log1p#0;math/log1p#1;math/log2#0;math/log2#1;math/rint#0;math/rint#1;math/round#0;math/round#1;math/roundeven#0;math/roundeven#1;math/sec#0;math/sec#1;math/sin#0;math/sin#1;math/sinh#0;math/sinh#1;math/sqrt#0;math/sqrt#1;math/tan#0;math/tan#1;math/tanh#0;math/tanh#1;math/tgamma#0;math/tgamma#1;math/trunc#0;math/trunc#1	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for math/acos;math/acosh;math/acot;math/acsc;math/asec;math/asin;math/asinh;math/atan;math/atanh;math/bessel/j0;math/bessel/j1;math/bessel/y0;math/bessel/y1;math/cbrt;math/ceil;math/cos;math/cosh;math/cot;math/csc;math/erf;math/erfc;math/floor;math/lgamma;math/log;math/log10;math/log1p;math/log2;math/rint;math/round;math/roundeven;math/sec;math/sin;math/sinh;math/sqrt;math/tan;math/tanh;math/tgamma;math/trunc	""
catalog:C07	catalog-acceptance-cells.tsv	math/atan2#0;math/atan2#1;math/atan2#2;math/atan2#3;math/atan2#4;math/atan2#5;math/atan2#6;math/atan2#7;math/atan2#8;math/atan2#9;math/bessel/jn#0;math/bessel/jn#1;math/bessel/jn#2;math/bessel/jn#3;math/bessel/jn#4;math/bessel/jn#5;math/bessel/jn#6;math/bessel/jn#7;math/bessel/jn#8;math/bessel/jn#9;math/bessel/yn#0;math/bessel/yn#1;math/bessel/yn#2;math/bessel/yn#3;math/bessel/yn#4;math/bessel/yn#5;math/bessel/yn#6;math/bessel/yn#7;math/bessel/yn#8;math/bessel/yn#9;math/copysign#0;math/copysign#1;math/copysign#2;math/copysign#3;math/copysign#4;math/copysign#5;math/copysign#6;math/copysign#7;math/copysign#8;math/copysign#9;math/fdim#0;math/fdim#1;math/fdim#2;math/fdim#3;math/fdim#4;math/fdim#5;math/fdim#6;math/fdim#7;math/fdim#8;math/fdim#9;math/fmod#0;math/fmod#1;math/fmod#2;math/fmod#3;math/fmod#4;math/fmod#5;math/fmod#6;math/fmod#7;math/fmod#8;math/fmod#9;math/nextafter#0;math/nextafter#1;math/nextafter#2;math/nextafter#3;math/nextafter#4;math/nextafter#5;math/nextafter#6;math/nextafter#7;math/nextafter#8;math/nextafter#9;math/remainder#0;math/remainder#1;math/remainder#2;math/remainder#3;math/remainder#4;math/remainder#5;math/remainder#6;math/remainder#7;math/remainder#8;math/remainder#9	R02	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for math/atan2;math/bessel/jn;math/bessel/yn;math/copysign;math/fdim;math/fmod;math/nextafter;math/remainder	""
catalog:C08	catalog-acceptance-cells.tsv	logic/and#0;logic/and#1;logic/and#2;logic/and#3;logic/and#4;logic/and#5;logic/and#6;logic/and#7;logic/and#8;logic/and#9;logic/or#0;logic/or#1;logic/or#2;logic/or#3;logic/or#4;logic/or#5;logic/or#6;logic/or#7;logic/or#8;logic/or#9;logic/xor#0;logic/xor#1;logic/xor#2;logic/xor#3;logic/xor#4;logic/xor#5;logic/xor#6;logic/xor#7;logic/xor#8;logic/xor#9	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for logic/and;logic/or;logic/xor	""
catalog:C09	catalog-acceptance-cells.tsv	logic/not#0;logic/not#1	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for logic/not	""
catalog:C10	catalog-acceptance-cells.tsv	compare/eq#0;compare/eq#1;compare/eq#2;compare/eq#3;compare/eq#4;compare/eq#5;compare/eq#6;compare/eq#7;compare/eq#8;compare/eq#9;compare/eq#10;compare/eq#11;compare/eq#12;compare/eq#13;compare/eq#14;compare/eq#15;compare/eq#16;compare/eq#17;compare/eq#18;compare/eq#19;compare/eq#20;compare/eq#21;compare/eq#22;compare/eq#23;compare/eq#24;compare/eq#25;compare/eq#26;compare/eq#27;compare/eq#28;compare/eq#29;compare/eq#30;compare/eq#31;compare/neq#0;compare/neq#1;compare/neq#2;compare/neq#3;compare/neq#4;compare/neq#5;compare/neq#6;compare/neq#7;compare/neq#8;compare/neq#9;compare/neq#10;compare/neq#11;compare/neq#12;compare/neq#13;compare/neq#14;compare/neq#15;compare/neq#16;compare/neq#17;compare/neq#18;compare/neq#19;compare/neq#20;compare/neq#21;compare/neq#22;compare/neq#23;compare/neq#24;compare/neq#25;compare/neq#26;compare/neq#27;compare/neq#28;compare/neq#29;compare/neq#30;compare/neq#31	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for compare/eq;compare/neq	""
catalog:C11	catalog-acceptance-cells.tsv	compare/seq#0;compare/seq#1;compare/sneq#0;compare/sneq#1	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for compare/seq;compare/sneq	""
catalog:C12	catalog-acceptance-cells.tsv	compare/gt#0;compare/gt#1;compare/gt#2;compare/gt#3;compare/gt#4;compare/gt#5;compare/gt#6;compare/gt#7;compare/gt#8;compare/gt#9;compare/gt#10;compare/gt#11;compare/gte#0;compare/gte#1;compare/gte#2;compare/gte#3;compare/gte#4;compare/gte#5;compare/gte#6;compare/gte#7;compare/gte#8;compare/gte#9;compare/gte#10;compare/gte#11;compare/lt#0;compare/lt#1;compare/lt#2;compare/lt#3;compare/lt#4;compare/lt#5;compare/lt#6;compare/lt#7;compare/lt#8;compare/lt#9;compare/lt#10;compare/lt#11;compare/lte#0;compare/lte#1;compare/lte#2;compare/lte#3;compare/lte#4;compare/lte#5;compare/lte#6;compare/lte#7;compare/lte#8;compare/lte#9;compare/lte#10;compare/lte#11	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for compare/gt;compare/gte;compare/lt;compare/lte	""
catalog:C13	catalog-acceptance-cells.tsv	compare/max#0;compare/max#1;compare/max#2;compare/max#3;compare/max#4;compare/max#5;compare/max#6;compare/max#7;compare/max#8;compare/max#9;compare/min#0;compare/min#1;compare/min#2;compare/min#3;compare/min#4;compare/min#5;compare/min#6;compare/min#7;compare/min#8;compare/min#9	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for compare/max;compare/min	""
catalog:C14	catalog-acceptance-cells.tsv	math/add-assign#0;math/add-assign#1;math/add-assign#2;math/add-assign/range#0;math/add-assign/range#1;math/add-assign/range#2;math/add-assign/range-all#0;math/add-assign/range-all#1;math/add-assign/range-all#2;math/div-assign#0;math/div-assign#1;math/div-assign#2;math/div-assign/range#0;math/div-assign/range#1;math/div-assign/range#2;math/div-assign/range-all#0;math/div-assign/range-all#1;math/div-assign/range-all#2;math/mul-assign/range#0;math/mul-assign/range#1;math/mul-assign/range#2;math/mul-assign/range-all#0;math/mul-assign/range-all#1;math/mul-assign/range-all#2;math/sub-assign#0;math/sub-assign#1;math/sub-assign#2;math/sub-assign/range#0;math/sub-assign/range#1;math/sub-assign/range#2;math/sub-assign/range-all#0;math/sub-assign/range-all#1;math/sub-assign/range-all#2	R05	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for math/add-assign;math/add-assign/range;math/add-assign/range-all;math/div-assign;math/div-assign/range;math/div-assign/range-all;math/mul-assign/range;math/mul-assign/range-all;math/sub-assign;math/sub-assign/range;math/sub-assign/range-all	""
catalog:C15	catalog-acceptance-cells.tsv	range/exclusive#0;range/exclusive-increment#0;range/inclusive#0;range/inclusive-increment#0	E4	E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for range/exclusive;range/exclusive-increment;range/inclusive;range/inclusive-increment	""
catalog:C16	catalog-acceptance-cells.tsv	matrix/matmul#0;matrix/matmul#1	R02	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for matrix/matmul	""
catalog:C17	catalog-acceptance-cells.tsv	matrix/dot#0;matrix/dot#1	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for matrix/dot	""
catalog:C18	catalog-acceptance-cells.tsv	matrix/solve#0;matrix/solve#1	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for matrix/solve	""
catalog:C19	catalog-acceptance-cells.tsv	matrix/horzcat#syntax-directed;matrix/vertcat#syntax-directed	R08	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for matrix/horzcat;matrix/vertcat	""
catalog:C20	catalog-acceptance-cells.tsv	matrix/transpose#0	R08	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for matrix/transpose	""
catalog:C21	catalog-acceptance-cells.tsv	matrix/comprehension#0	R09	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for matrix/comprehension	""
catalog:C22	catalog-acceptance-cells.tsv	set/comprehension#0;set/comprehension#1	R09	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/comprehension	""
catalog:C23	catalog-acceptance-cells.tsv	set/define#syntax-directed	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/define	""
catalog:C24	catalog-acceptance-cells.tsv	set/element-of#0;set/not-element-of#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/element-of;set/not-element-of	""
catalog:C25	catalog-acceptance-cells.tsv	set/insert#0;set/remove#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/insert;set/remove	""
catalog:C26	catalog-acceptance-cells.tsv	set/difference#0;set/intersection#0;set/symmetric-difference#0;set/union#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/difference;set/intersection;set/symmetric-difference;set/union	""
catalog:C27	catalog-acceptance-cells.tsv	set/disjoint#0;set/equals#0;set/not_equals#0;set/proper-superset#0;set/proper_subset#0;set/subset#0;set/superset#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/disjoint;set/equals;set/not_equals;set/proper-superset;set/proper_subset;set/subset;set/superset	""
catalog:C28	catalog-acceptance-cells.tsv	set/cartesian-product#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/cartesian-product	""
catalog:C29	catalog-acceptance-cells.tsv	set/powerset#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/powerset	""
catalog:C30	catalog-acceptance-cells.tsv	set/size#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for set/size	""
catalog:C31	catalog-acceptance-cells.tsv	stats/sum/column#0;stats/sum/row#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for stats/sum/column;stats/sum/row	""
catalog:C32	catalog-acceptance-cells.tsv	string/concat#0	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for string/concat	""
catalog:C33	catalog-acceptance-cells.tsv	table/full-outer-join#syntax-directed;table/join#syntax-directed;table/left-anti-join#syntax-directed;table/left-outer-join#syntax-directed;table/left-semi-join#syntax-directed;table/right-outer-join#syntax-directed	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for table/full-outer-join;table/join;table/left-anti-join;table/left-outer-join;table/left-semi-join;table/right-outer-join	""
catalog:C34	catalog-acceptance-cells.tsv	combinatorics/n-choose-k#0;combinatorics/n-choose-k#1	E3	E4;E9;R01	Candidate identity, exact kind/layout domain, source oracle and boundary cells for combinatorics/n-choose-k	""
target:TR-numeric-u64-pow	target-rejection-cells.tsv	TR-numeric-u64-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-u128-pow	target-rejection-cells.tsv	TR-numeric-u128-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-i8-pow	target-rejection-cells.tsv	TR-numeric-i8-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-i16-pow	target-rejection-cells.tsv	TR-numeric-i16-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-i32-pow	target-rejection-cells.tsv	TR-numeric-i32-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-i64-pow	target-rejection-cells.tsv	TR-numeric-i64-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-i128-pow	target-rejection-cells.tsv	TR-numeric-i128-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-scalar-c32	target-rejection-cells.tsv	TR-scalar-c32	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-c32-add	target-rejection-cells.tsv	TR-numeric-c32-add	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-c32-sub	target-rejection-cells.tsv	TR-numeric-c32-sub	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-c32-mul	target-rejection-cells.tsv	TR-numeric-c32-mul	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-c32-div	target-rejection-cells.tsv	TR-numeric-c32-div	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-c32-pow	target-rejection-cells.tsv	TR-numeric-c32-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-repeat-c32	target-rejection-cells.tsv	TR-matrix-repeat-c32	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-c64-pow	target-rejection-cells.tsv	TR-numeric-c64-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-numeric-r64-pow	target-rejection-cells.tsv	TR-numeric-r64-pow	R02		Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-c32-add	target-rejection-cells.tsv	TR-matrix-c32-add	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-c32-sub	target-rejection-cells.tsv	TR-matrix-c32-sub	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-c32-mul	target-rejection-cells.tsv	TR-matrix-c32-mul	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-c32-div	target-rejection-cells.tsv	TR-matrix-c32-div	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-c32-sum	target-rejection-cells.tsv	TR-matrix-c32-sum	R02		C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-c32-matmul	target-rejection-cells.tsv	TR-matrix-c32-matmul	R02		Matrix-product target implementation: machines/matrix/src/matmul.rs plus engine resident numeric matrix-product binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-c64-matmul	target-rejection-cells.tsv	TR-matrix-c64-matmul	R02		Matrix-product target implementation: machines/matrix/src/matmul.rs plus engine resident numeric matrix-product binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-matrix-r64-matmul	target-rejection-cells.tsv	TR-matrix-r64-matmul	R02		Matrix-product target implementation: machines/matrix/src/matmul.rs plus engine resident numeric matrix-product binding: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-catalog-f32-binary-broadcast	target-rejection-cells.tsv	TR-catalog-f32-binary-broadcast	R02		Floating binary broadcast target binding: math/copysign catalog/kernel and engine resident numeric layout adapter: pure semantic artifact admission; separate physical target rejection and positive capability	G02
target:TR-control-numeric-u8-pow	target-rejection-cells.tsv	TR-control-numeric-u8-pow	R02		canonical semantic frontend plus configured resident execution: finite supported pure-operation control	G02
target:TR-control-numeric-u32-pow	target-rejection-cells.tsv	TR-control-numeric-u32-pow	R02		canonical semantic frontend plus configured resident execution: finite supported pure-operation control	G02
target:TR-control-numeric-f64-pow	target-rejection-cells.tsv	TR-control-numeric-f64-pow	R02		canonical semantic frontend plus configured resident execution: finite supported pure-operation control	G02
target:TR-control-rational-integral-power	target-rejection-cells.tsv	TR-control-rational-integral-power	R02		canonical semantic frontend plus configured resident execution: finite supported pure-operation control	G02
target:TR-control-numeric-c64-add	target-rejection-cells.tsv	TR-control-numeric-c64-add	R02		canonical semantic frontend plus configured resident execution: finite supported pure-operation control	G02
target:TR-control-matrix-f32-matmul	target-rejection-cells.tsv	TR-control-matrix-f32-matmul	R02		canonical semantic frontend plus configured resident execution: finite supported pure-operation control	G02
target:TR-control-matrix-f64-matmul	target-rejection-cells.tsv	TR-control-matrix-f64-matmul	R02		canonical semantic frontend plus configured resident execution: finite supported pure-operation control	G02
target:TR-control-matrix-c32-transpose	target-rejection-cells.tsv	TR-control-matrix-c32-transpose	R02		canonical semantic frontend plus configured resident execution: finite supported pure-operation control	G02
target:TR-control-c32-transport	target-rejection-cells.tsv	TR-control-c32-transport	R02		canonical Value schema admission and resident publication: exact live C32 storage/publication independently of arithmetic	G02
target:TR-effect-preflight-control	target-rejection-cells.tsv	TR-effect-preflight-control	R02		ProgramCompiler resource preflight and RuntimeResourceProvider planning hook: existing effect-free planning contract across five compiler routes	G02
target:TR-effect-unsupported	target-rejection-cells.tsv	TR-effect-unsupported	R02		runtime ProgramCompiler temporary execution where required; resident physical binding otherwise: effectful compiler temporary activation	G02
target:TR-planning-value-unsupported	target-rejection-cells.tsv	TR-planning-value-unsupported	R02		runtime ProgramCompiler temporary execution where required; resident physical binding otherwise: closed supplied planning-value admission	G02
target:TR-static-unsupported	target-rejection-cells.tsv	TR-static-unsupported	R02		runtime ProgramCompiler temporary execution where required; resident physical binding otherwise: static initializer execution admission	G02
target:TR-open-input-unsupported	target-rejection-cells.tsv	TR-open-input-unsupported	R02		runtime ProgramCompiler temporary execution where required; resident physical binding otherwise: pure open-input artifact and physical target separation	G02
target:TR-mask-empty-facts	target-rejection-cells.tsv	TR-mask-empty-facts	R06		resident shape derivation and supplied ActivationFacts contract: computed-mask activation with no selected-output shape fact	G17
target:TR-mask-explicit-population	target-rejection-cells.tsv	TR-mask-explicit-population	R06		resident activation facts and selection execution: same computed mask with supplied exact selected-output population	G17
target:TR-mask-fixed-population-control	target-rejection-cells.tsv	TR-mask-fixed-population-control	R06		resident selection layout and per-turn validation: existing fixed-population mask execution and atomic extent rejection	G17
target:TR-mask-production-loader	target-rejection-cells.tsv	TR-mask-production-loader	R06		runtime resident target preflight/shape-fact handoff: production loader reports current unresolved physical shape without installing a program	G17
target:TR-downstream-dynamic-concat	target-rejection-cells.tsv	TR-downstream-dynamic-concat	R08		resident downstream collection layout: numeric.rs bind_matrix_constructor/bind_transpose and per-turn execution; comprehension producer publication is separate: closed comprehension output consumed by concatenation: current safe rejection and retained positive capability	G18
target:TR-downstream-changing-concat	target-rejection-cells.tsv	TR-downstream-changing-concat	R08		resident downstream collection layout: numeric.rs bind_matrix_constructor/bind_transpose and per-turn execution; comprehension producer publication is separate: concatenation consumes changing comprehension cardinality across three turns	G18
target:TR-downstream-changing-transpose	target-rejection-cells.tsv	TR-downstream-changing-transpose	R08		resident downstream collection layout: numeric.rs bind_matrix_constructor/bind_transpose and per-turn execution; comprehension producer publication is separate: transpose consumes changing comprehension cardinality across three turns	G18
gap:G02	gaps.tsv	G02	R02		Configured numeric/layout capability scope and physical target owners	G02
gap:G03	gaps.tsv	G03	R01		Canonical named-call environment and catalog exposure	G03
gap:G04	gaps.tsv	G04	R05		Canonical selected-assignment lowering	G04
gap:G05	gaps.tsv	G05	R07		Resident activation dependency classification	G05
gap:G06	gaps.tsv	G06	R09		Resident comprehension retained value storage/binding	G06
gap:G07	gaps.tsv	G07	R11		Canonical control-block composition	G07
gap:G08	gaps.tsv	G08	R12		Canonical computed-pattern evaluation	G08
gap:G09	gaps.tsv	G09	R10		Canonical match-pattern lowering	G09
gap:G10	gaps.tsv	G10	R13		Canonical semantic declaration environment: kind definitions	G10
gap:G11	gaps.tsv	G11	R13		Canonical semantic declaration environment: enums	G11
gap:G12	gaps.tsv	G12	R15		Canonical constrained-type contract prerequisite	G12
gap:G13	gaps.tsv	G13	R14		Canonical dimensionless reified-kind lowering	G13
gap:G14	gaps.tsv	G14	R18		Canonical FSM declaration and resident continuation owner	G14
gap:G15	gaps.tsv	G15	R19		Canonical activation-scope lowering and runtime lifecycle	G15
gap:G16	gaps.tsv	G16	R20		ProgramCompiler ordered dependency graph ownership	G16
gap:G17	gaps.tsv	G17	R06		Computed logical-mask shape capability and activation-fact responsibility	G17
gap:G18	gaps.tsv	G18	R08		Resident downstream comprehension layout capability	G18
gap:G19	gaps.tsv	G19	R16		Canonical pattern-function body lowering and collection lifting	G19
gap:G20	gaps.tsv	G20	R17		Canonical bounded recursive call execution	G20
gap:G21	gaps.tsv	G21	R21		C retirement: compiler, interactive and module-index tree authority	G21
gap:G22	gaps.tsv	G22	R22		C browser document transport and lifecycle	G22
gap:G23	gaps.tsv	G23	R23		C build/test retirement closure	G23
gap:G24	gaps.tsv	G24	R23		Semantic certification maintenance	G24
gap:G25	gaps.tsv	G25	R03		Canonical constant binding and artifact schema canonicalization	G25
gap:G26	gaps.tsv	G26	R04		Canonical Dynamic constant binding identity	G26
