schemas	responsibility	source-or-value-construction	expected-result	evidence-status	witness-source	witness-test	witness-command	evidence-head	related-gaps	proof-limit	cell-id
SignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<i64>; construct canonical input snapshots I64(1),I64(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact i64 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:387	exact_scalar_i64	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_i64 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-i64
SignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<i128>; construct canonical input snapshots I128(1),I128(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact i128 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:396	exact_scalar_i128	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_i128 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-i128
FloatingPoint	exact scalar typed-input/constant/publication identity	Compile x := signal<f32>; construct canonical input snapshots F32Bits1.25,2.5; activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact f32 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:405	exact_scalar_f32	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_f32 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-f32
FloatingPoint	exact scalar typed-input/constant/publication identity	Compile x := signal<f64>; construct canonical input snapshots F64Bits1.25,2.5; activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact f64 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:417	exact_scalar_f64	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_f64 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-f64
Complex	exact scalar typed-input/constant/publication identity	Compile x := signal<c32>; construct canonical input snapshots Complex32(1,2),(3,4); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact c32 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:429	exact_scalar_c32	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_c32 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-c32
Complex	exact scalar typed-input/constant/publication identity	Compile x := signal<c64>; construct canonical input snapshots Complex64(1,2),(3,4); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact c64 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:447	exact_scalar_c64	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_c64 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-c64
Rational64	exact scalar typed-input/constant/publication identity	Compile x := signal<r64>; construct canonical input snapshots Rational64(1/2),(2/3); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact r64 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:465	exact_scalar_r64	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_r64 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-r64
Bool	exact scalar typed-input/constant/publication identity	Compile x := signal<bool>; construct canonical input snapshots Bool(false),Bool(true); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact bool schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	new-test-recorded-frozen-B-pass	src/runtime/tests/s8_replacement_schema_audit.rs:483	exact_scalar_bool	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_bool -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		s8-audit-schema-final.log: live source/decoded and bound source/decoded publication pass, each on two turns with independently constructed exact schema/value. Generic canonical Value boundary only; this does not widen RuntimeHostInputValue return forms.	QT-bool
String	exact scalar typed-input/constant/publication identity	"Compile x := signal<string>; construct canonical input snapshots String(""""),String(""Δ""); activate direct+decoded; separately bind input0 tofirst snapshot."	Copied output keeps exact string schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	new-test-recorded-frozen-B-pass	src/runtime/tests/s8_replacement_schema_audit.rs:492	exact_scalar_string	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_string -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		s8-audit-schema-final.log: live source/decoded and bound source/decoded publication pass, each on two turns with independently constructed exact schema/value. Generic canonical Value boundary only; this does not widen RuntimeHostInputValue return forms.	QT-string
Dynamic	generic canonical snapshot input binding and exact publication	"compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Dynamic; canonical Value drafts Dynamic(boxed Tuple[Bool(true),F64(1)] from foreign SchemaTable), then Dynamic(boxed String(""Δ"")); bind input0 to first value in separate copy."	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key.	observed-defect-exact-bound-value-identity	src/runtime/tests/s8_replacement_schema_audit.rs:502	exact_generic_dynamic	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_dynamic -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G26	s8-audit-schema-final.log: both live routes pass; bound-source turn0 exact value hash differs because bind_input_constants wraps an already-Dynamic payload again (frontend.rs:359). Bound-bytecode route is not reached in this reordered run; the earlier qualified-boundaries run decoded this same bound artifact before the identity assertion. Dynamic(None) is a documented reconstruction placeholder, not an invalid draft.	QG-Dynamic
Atom	generic canonical snapshot input binding and exact publication	compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Atom(key=:ready); canonical Value drafts ValueDataDraft::Atom twice; wrong key=:other negative; bind input0 to first value in separate copy.	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:537	exact_generic_atom	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_atom -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QG-Atom
Option	generic canonical snapshot input binding and exact publication	compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Option(U8); canonical Value drafts Option(Some(U8(1))), then Option(None); bind input0 to first value in separate copy.	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:549	exact_generic_option	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_option -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QG-Option
Tuple	generic canonical snapshot input binding and exact publication	compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Tuple(U8,Bool); canonical Value drafts Tuple(U8(1),Bool(true)), then Tuple(U8(2),Bool(false)); bind input0 to first value in separate copy.	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:559	exact_generic_tuple	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_tuple -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QG-Tuple
Record	generic canonical snapshot input binding and exact publication	compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Record[x:U8,ready:Bool]; canonical Value drafts Record[x:U8(1),ready:true], then[x:U8(2),ready:false] in declared field order; bind input0 to first value in separate copy.	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:592	exact_generic_record	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_record -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QG-Record
Matrix	generic canonical snapshot input binding and exact publication	compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Matrix<U8>[2,3]; canonical Value drafts row-major U8 elements1..6, then7..12; bind input0 to first value in separate copy.	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:645	exact_generic_matrix	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_matrix -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QG-Matrix
Table	generic canonical snapshot input binding and exact publication	compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Table[x:U8,ready:Bool] rows2; canonical Value drafts columns x=[1,2],ready=[true,false], then x=[3,4],ready=[false,true]; bind input0 to first value in separate copy.	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:650	exact_generic_table	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_table -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QG-Table
Set	generic canonical snapshot input binding and exact publication	compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Set<U8> exact2; canonical Value drafts canonical elements[1,2],then[2,3]; duplicate draft negative; reverse-order draft canonicalizes to sorted order; bind input0 to first value in separate copy.	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key. Set draft canonicalization sorts reversed distinct keys and rejects duplicate keys (snapshot/relations.rs insert_set_key).	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:678	exact_generic_set	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_set -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QG-Set
Map	generic canonical snapshot input binding and exact publication	"compile_document_with_catalog_and_input_schemas on answer:=signal with signal schema Map<String,Option<U8>> exact1; canonical Value drafts entry(""x"",Some(U8(1))), then entry(""x"",None); bind input0 to first value in separate copy."	Direct/decoded artifact publishes both exact schema/data values; bound copy has0inputs and exact first value; rebind across separately built equivalent SchemaTables preserves semantic key.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:752	exact_generic_map	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_generic_map -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QG-Map
UnsignedInteger	reject wrong scalar schema in Snapshot-backed lane at documented semantic boundaries	signal<u8> with independently finalized String instead of U8(1)	Value::rebind rejects incompatible schema; prepare_turn_values rejects and preserves prior output plus epoch; CanonicalSourceProgram.bind_input_constants rejects.	new-test-recorded-frozen-B-pass	src/runtime/tests/s8_replacement_schema_audit.rs:822	reject_incompatible_snapshot_scalar_schema	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit reject_incompatible_snapshot_scalar_schema -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		s8-audit-schema-final.log: exact test passes all three rejection boundaries and publication/epoch preservation. Representative responsibility witness, not every composite combination. Raw CapturedSignalInput is not the schema-validation boundary; product coordinator uses CapturedValueInput.	QN-scalar-schema
Bool	reject wrong scalar schema in native Bool lane at documented semantic boundaries	signal<bool> with independently finalized String instead of Bool(false)	Value::rebind rejects incompatible schema; prepare_turn_values rejects and preserves prior output plus epoch; CanonicalSourceProgram.bind_input_constants rejects.	new-test-recorded-frozen-B-pass	src/runtime/tests/s8_replacement_schema_audit.rs:832	reject_incompatible_native_scalar_schema	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit reject_incompatible_native_scalar_schema -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		s8-audit-schema-final.log: exact test passes all three rejection boundaries and publication/epoch preservation. Representative responsibility witness, not every composite combination. Raw CapturedSignalInput is not the schema-validation boundary; product coordinator uses CapturedValueInput.	QN-native-scalar-schema
Atom	reject nominal atom identity at documented semantic boundaries	signal schema nominal Atom ready with independently finalized Atom other	Value::rebind rejects incompatible schema; prepare_turn_values rejects and preserves prior output plus epoch; CanonicalSourceProgram.bind_input_constants rejects.	new-test-recorded-frozen-B-pass	src/runtime/tests/s8_replacement_schema_audit.rs:842	reject_incompatible_atom_nominal_identity	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit reject_incompatible_atom_nominal_identity -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		s8-audit-schema-final.log: exact test passes all three rejection boundaries and publication/epoch preservation. Representative responsibility witness, not every composite combination. Raw CapturedSignalInput is not the schema-validation boundary; product coordinator uses CapturedValueInput.	QN-atom-identity
Matrix	reject closed matrix extent at documented semantic boundaries	signal schema Matrix<U8>[2,3] with same six elements finalized as Matrix<U8>[3,2]	Value::rebind rejects incompatible schema; prepare_turn_values rejects and preserves prior output plus epoch; CanonicalSourceProgram.bind_input_constants rejects.	new-test-recorded-frozen-B-pass	src/runtime/tests/s8_replacement_schema_audit.rs:847	reject_incompatible_matrix_extent	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit reject_incompatible_matrix_extent -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		s8-audit-schema-final.log: exact test passes all three rejection boundaries and publication/epoch preservation. Representative responsibility witness, not every composite combination. Raw CapturedSignalInput is not the schema-validation boundary; product coordinator uses CapturedValueInput.	QN-matrix-extent
Map	reject map key schema at documented semantic boundaries	signal schema Map<String,Option<U8>> with finalized Map<U8,Option<U8>>, cardinality1	Value::rebind rejects incompatible schema; prepare_turn_values rejects and preserves prior output plus epoch; CanonicalSourceProgram.bind_input_constants rejects.	new-test-recorded-frozen-B-pass	src/runtime/tests/s8_replacement_schema_audit.rs:852	reject_incompatible_map_key_schema	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit reject_incompatible_map_key_schema -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		s8-audit-schema-final.log: exact test passes all three rejection boundaries and publication/epoch preservation. Representative responsibility witness, not every composite combination. Raw CapturedSignalInput is not the schema-validation boundary; product coordinator uses CapturedValueInput.	QN-map-key
