inventory	rule	declared-disposition	witness	behavior-evidence	related-gaps	open-obligation	acceptance-boundary
s7	idea-block	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	img	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	info-block	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	inline-mech-code	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	inline-paragraph	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	invariant-define	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	kind-define	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G10	O06	rule membership alone does not certify all semantic uses
s7	left-alignment	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	load-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	ls-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	match-expression	outside-document-closure	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	mech-code	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mech-code-alt	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mechdown-list	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mechdown-table	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mechdown-table-header	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mechdown-table-no-header	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mechdown-table-row	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mechdown-table-with-header	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	micro-mika	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mika	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mika-arm-left	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mika-arm-right	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mika-expression-inner	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mika-eye-left	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mika-eye-right	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mika-nose	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mika-section	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	mini-mika	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	no-alignment	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	not-mech-code	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	op-assign	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G04	O06	rule membership alone does not certify all semantic uses
s7	option-map	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	option-mapping	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	option-value	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	ordered-list	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	ordered-list-item	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	paragraph	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	paragraph-element	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	paragraph-newline	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	parse	maintained-root	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	parse-mech	maintained-root	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	parse-repl-command	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	plan-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	profile-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	program	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	prompt	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	question-block	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	quit-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	quote-block	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	repl-identifier	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	right-alignment	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	save-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	section	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	section-element	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	slice-ref	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G04	O06	rule membership alone does not certify all semantic uses
s7	statement	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	step-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	strikethrough	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	strong	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	sublist	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	subtitle	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	success-block	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	symbols-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	table-column	outside-document-closure	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	title	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	title-front-matter	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	tuple-destructure	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	ul-subtitle	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	unchecked-item	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	underline	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	unordered-list	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	unordered-list-item	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	variable-assign	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G04	O06	rule membership alone does not certify all semantic uses
s7	warning-block	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	whos-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
