inventory	rule	declared-disposition	control-acceptance-cells	acceptance-cells	responsibility-class	owning-layer	related-gaps	current-control-status	syntax-evidence	accepted-source-json	rejected-source-json	recovery-source-json	semantic-certification-outcome	command-positive-json	command-negative-json	coverage-boundary
phase-2i	set-comprehension	executable		rule:R07;rule:R08;rule:R09;rule:R10;catalog:C22;schema:Q23	executable-comprehension	canonical control graph and Set keyability/storage	G06;G07;G08;G18	not-a-control-qualification-row	rule:R01	"""{x | x <- xs}"""	"""}{x | x <- xs}"""	"""{x | x <-"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	slice	executable		rule:R31;schema:Q09;schema:Q10;schema:Q14;rule:R04	executable-selection	canonical projection and resident selection ownership	G17;G24	not-a-control-qualification-row	rule:R01	"""x[1]"""	""")x[1]"""	"""x[1"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	structure	executable		rule:R31;schema:Q04;schema:Q07	structural-constructor-dispatch	selected canonical composite schema/constructor owner		not-a-control-qualification-row	rule:R01	"""[1]"""	"""][1]"""	"""(1"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	subscript	structural		rule:R31;schema:Q09;schema:Q10;schema:Q14;catalog:C15	structural-selector	canonical selection lowering and resident selection contracts	G17	not-a-control-qualification-row	rule:R01	"""[1].field"""	"""}[1].field"""	"""[1"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	table	executable		rule:R31;schema:Q04;schema:Q12;schema:Q13;catalog:C33	executable-table-constructor	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""|a<u8>|1|"""	""")|a<u8>|1|"""	"""|a<u8>|"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	table-header	structural		rule:R31;schema:Q04;schema:Q12	structural-table-syntax	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""a<u8>|"""	"""]a<u8>|"""	"""a<u8>"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	table-row	structural		rule:R31;schema:Q04;schema:Q12	structural-table-syntax	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""|1 2|"""	"""}|1 2|"""	"""|1"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	table-row2	structural		rule:R31;schema:Q04;schema:Q12	structural-table-syntax	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""|1|2|"""	""")|1|2|"""	"""|1"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	tuple	executable		rule:R31;schema:Q04;schema:Q07	executable-tuple-constructor	canonical positional Tuple schema owner		not-a-control-qualification-row	rule:R01	"""(1,2)"""	"""](1,2)"""	"""(1"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	tuple-struct	executable		schema:Q21;schema:Q27;rule:R11	executable-nominal-constructor	canonical nominal Atom/Enum schema and payload owner	G09;G11	not-a-control-qualification-row	rule:R01	""":some(1)"""	"""}:some(1)"""	""":some(1"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	var	executable		compiler:F11;compiler:F12;compiler:F14;compiler:P05;compiler:P06;rule:R30	executable-variable-or-resource-read	canonical lexical/input environment and configured resource planner		not-a-control-qualification-row	rule:R01	"""@ctx/path"""	""")@ctx/path"""	"""x<u8"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	variable-define	executable		compiler:F02;compiler:F20;compiler:P23;compiler:P25;rule:R14	executable-definition/state-initialization	canonical definition schema and resident activation dependency owner	G04	not-a-control-qualification-row	rule:R01	"""~state<u8> := 1"""	"""]~state<u8> := 1"""	"""x :="""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
s7	abstract-el	document-dependency		rule:R22	presentation-block	canonical retained document renderer		not-a-control-qualification-row	rule:R02	"""%%x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	activation-arm	document-dependency	ACT05;ACT06;ACT07;ACT08;ACT09	control:ACT05;control:ACT06;control:ACT07;control:ACT08;control:ACT09	control-structure	canonical activation edge/arm/lifecycle owner	G15	blocked	rule:R02	"""|42=>{}"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	activation-scope	document-dependency	ACT01;ACT02;ACT03;ACT04;ACT09;ACT10	control:ACT01;control:ACT02;control:ACT03;control:ACT04;control:ACT09;control:ACT10	control-structure	canonical activation edge/arm/lifecycle owner	G15	blocked	rule:R02	"""~>1 + 2{}"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	alignment-separator	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	"""-"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	body	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	""""""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	cd-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":cd path"",""expected"":""Cd(path)""}"	"{""source"":"":cd"",""expected"":""Usage: :cd <path>""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	center-alignment	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	""":-:"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	check-list	document-dependency		rule:R23	presentation-list/structural-item	canonical retained list renderer		not-a-control-qualification-row	rule:R02	"""-[]x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	check-list-item	document-dependency		rule:R23	presentation-list/structural-item	canonical retained list renderer		not-a-control-qualification-row	rule:R02	"""-[]x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	checked-item	document-dependency		rule:R23	presentation-list/structural-item	canonical retained list renderer		not-a-control-qualification-row	rule:R02	"""-[x]x\nx\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	citation	document-dependency		rule:R26	presentation-reference	canonical retained references/backmatter renderer		not-a-control-qualification-row	rule:R02	"""[a]:x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	clc-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":clc"",""expected"":""Clc""}"	"{""source"":"":clc extra"",""expected"":""Usage: :clc""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	clear-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":clear x"",""expected"":""Clear([x])""}"	"{""source"":"":clear \""unterminated"",""expected"":""Unclosed double quote in command arguments.""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	code-block	document-dependency		rule:R29;rule:R18	executable-or-inert-fence	canonical scope collector and retained fence renderer		not-a-control-qualification-row	rule:R02	"""```\n```"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	code-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":code 1 + 1"",""expected"":""Code(1 + 1)""}"	"{""source"":"":code"",""expected"":""Usage: :code <source>""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	code-terminal	document-dependency		rule:R29;compiler:F03	structural-code-boundary	canonical syntax boundary; enclosing document scope owns code execution		not-a-control-qualification-row	rule:R02	""""""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	context-send	document-dependency		rule:R30;compiler:P04;compiler:P08;compiler:P29	executable-resource-send	canonical resource planning and resident host effect owner		not-a-control-qualification-row	rule:R02	"""x<u8><-1 + 2"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	docs-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":docs syntax"",""expected"":""Docs(Some(syntax))""}"	"{""source"":"":docs \""unterminated"",""expected"":""Unclosed double quote in command arguments.""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	emphasis	document-dependency		rule:R21	presentation-inline	canonical retained inline renderer		not-a-control-qualification-row	rule:R02	"""*x*"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	empty-paragraph	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	""""""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	enum-define	document-dependency		schema:Q27;rule:R11	compile-time-enum-declaration	canonical nominal type environment and pattern payload owner	G09;G11	not-a-control-qualification-row	rule:R02	"""<x>:=x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	enum-variant	document-dependency		schema:Q27;rule:R11	compile-time-enum-declaration	canonical nominal type environment and pattern payload owner	G09;G11	not-a-control-qualification-row	rule:R02	"""x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	enum-variant-inline-kind	document-dependency		schema:Q27;rule:R11	compile-time-enum-declaration	canonical nominal type environment and pattern payload owner	G09;G11	not-a-control-qualification-row	rule:R02	"""<u8>"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	enum-variant-kind	document-dependency		schema:Q27;rule:R11	compile-time-enum-declaration	canonical nominal type environment and pattern payload owner	G09;G11	not-a-control-qualification-row	rule:R02	"""(<u8>)"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	error-block	document-dependency		rule:R22	presentation-block	canonical retained document renderer		not-a-control-qualification-row	rule:R02	"""(x)>x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	eval-inline-mech-code	document-dependency		rule:R18;rule:R20;compiler:F04	executable-inline-expression	canonical source-ordered presentation slot and scope owner		not-a-control-qualification-row	rule:R02	"""{1 + 2}"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	figure-item	document-dependency		rule:R25;rule:R29	presentation-image/option-syntax	canonical retained renderer with explicit option whitelist		not-a-control-qualification-row	rule:R02	"""![](x)"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	figures	document-dependency		rule:R25;rule:R29	presentation-image/option-syntax	canonical retained renderer with explicit option whitelist		not-a-control-qualification-row	rule:R02	"""|![](x)|"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	figures-row	document-dependency		rule:R25;rule:R29	presentation-image/option-syntax	canonical retained renderer with explicit option whitelist		not-a-control-qualification-row	rule:R02	"""|![](x)|"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	float	document-dependency		rule:R27	presentation-float	canonical retained float renderer		not-a-control-qualification-row	rule:R02	""":>>x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	float-sigil	document-dependency		rule:R27	presentation-float	canonical retained float renderer		not-a-control-qualification-row	rule:R02	""":>>"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	footnote	document-dependency		rule:R26	presentation-reference	canonical retained references/backmatter renderer		not-a-control-qualification-row	rule:R02	"""[^x]:x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	fsm	document-dependency	FSM01	control:FSM01	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""#x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-arm	document-dependency	FSM02;FSM03	control:FSM02;control:FSM03	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""42 |42 ->+> x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-block-transition	document-dependency	FSM03;FSM06;FSM13	control:FSM03;control:FSM06;control:FSM13	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""->{}"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-comment-arm	document-dependency	FSM02	control:FSM02	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""--"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-declare	document-dependency	FSM01;FSM08	control:FSM01;control:FSM08	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""#x:=#machine -> :next => :value"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-guard	document-dependency	FSM02;FSM03	control:FSM02;control:FSM03	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""|42 ->+> x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-guard-arm	document-dependency	FSM02;FSM03	control:FSM02;control:FSM03	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""42|42 ->+> x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-implementation	document-dependency	FSM01;FSM02;FSM03;FSM04;FSM05;FSM06;FSM07;FSM08;FSM09;FSM10;FSM11;FSM12;FSM13	control:FSM01;control:FSM02;control:FSM03;control:FSM04;control:FSM05;control:FSM06;control:FSM07;control:FSM08;control:FSM09;control:FSM10;control:FSM11;control:FSM12;control:FSM13	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""#machine(x) -> :start\n:start |42 ->+> x\n."""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-specification	document-dependency	FSM01;FSM02	control:FSM01;control:FSM02	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""#x()|:state."""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-state-definition	document-dependency	FSM01;FSM02	control:FSM01;control:FSM02	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""|:state"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-state-definition-variables	document-dependency	FSM01;FSM09	control:FSM01;control:FSM09	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""(x<u8>)"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-statement-transition	document-dependency	FSM03;FSM06	control:FSM03;control:FSM06	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""->+> x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	fsm-transition	document-dependency	FSM01;FSM02;FSM03	control:FSM01;control:FSM02;control:FSM03	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R02	"""42 ->{}"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	function-arg	document-dependency	FUN02;FUN03	rule:R17;control:FUN02;control:FUN03	control-function-definition	canonical user-function environment/body/call execution owner	G19	blocked	rule:R02	"""x<u8>"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	function-define	document-dependency	FUN01;FUN02;FUN03;FUN04;FUN05;FUN06;FUN07;FUN08;FUN09;FUN10	rule:R17;control:FUN01;control:FUN02;control:FUN03;control:FUN04;control:FUN05;control:FUN06;control:FUN07;control:FUN08;control:FUN09;control:FUN10	control-function-definition	canonical user-function environment/body/call execution owner	G19;G20	blocked	rule:R02	"""x()=><u8> |1 + 2"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	function-define-match-arms	document-dependency	FUN01;FUN03;FUN06;FUN07;FUN08	rule:R17;control:FUN01;control:FUN03;control:FUN06;control:FUN07;control:FUN08	control-function-definition	canonical user-function environment/body/call execution owner	G19;G20	blocked	rule:R02	"""=><u8> |1 + 2"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	function-define-statements	document-dependency	FUN02;FUN04;FUN07;FUN09;FUN10	rule:R17;control:FUN02;control:FUN04;control:FUN07;control:FUN09;control:FUN10	control-function-definition	canonical user-function environment/body/call execution owner	G19;G20	blocked	rule:R02	"""=out<u8>:=value:=1."""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	function-match-arm	document-dependency	FUN01;FUN03;FUN06	rule:R17;control:FUN01;control:FUN03;control:FUN06	control-function-definition	canonical user-function environment/body/call execution owner	G19;G20	blocked	rule:R02	"""|1 + 2"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	function-out-arg	document-dependency	FUN02;FUN10	rule:R17;control:FUN02;control:FUN10	control-function-definition	canonical user-function environment/body/call execution owner	G19;G20	blocked	rule:R02	"""x<u8>"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	function-out-args	document-dependency	FUN02;FUN10	rule:R17;control:FUN02;control:FUN10	control-function-definition	canonical user-function environment/body/call execution owner	G19;G20	blocked	rule:R02	"""(x<u8>)"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	help-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":help"",""expected"":""Help""}"	"{""source"":"":help extra"",""expected"":""Usage: :help""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	highlight	document-dependency		rule:R32	presentation-inline	canonical retained inline renderer		not-a-control-qualification-row	rule:R02	"""!!x!!"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	hyperlink	document-dependency		rule:R21	presentation-inline	canonical retained inline renderer		not-a-control-qualification-row	rule:R02	"""[x](x)"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	idea-block	document-dependency		rule:R22	presentation-block	canonical retained document renderer		not-a-control-qualification-row	rule:R02	"""(*)>x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
