cell-id	owning-layer	responsibility	fixture-or-construction	expected-result	evidence-status	witness-source	witness-test	witness-command	evidence-head	related-gaps	proof-limit	methods
P29	runtime detached host values	finite supplied/default/static host-value acceptance	"Cross RuntimeHostInputValue variants Unit,Bool,String,U8,U16,U32,U64,U128,I8,I16,I32,I64,I128,F32,F64,Index,BoolMatrix,IndexMatrix,F32Matrix,F64Matrix with APIs inputs/defaults/static; source answer:=supplied; port:=supplied for selected live default. Value cases: true,""Δ"",7 for integer/Index,1.25 floating; matrices2x3 row-major. Negative Index0 and matrix element-count mismatch; disabled features reject."	Supplied input conversion accepts the20 enum forms subject to current feature/domain guards; constant-input compilation preserves accepted snapshot schema/value. Returned defaults/static projection currently accepts ONLY F32,F64 and2-D F32Matrix,F64Matrix; other exact types return RuntimeNumericValueUnsupported. Assert this boundary explicitly; whether product scope must widen it is a contract decision, not a presumed generic-schema promise. Index0 and mismatched/nonpositive matrix dimensions reject before effects.	untested-host-value-census-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		P05/P10 cover F32/F32Matrix. Closed census is20 supplied forms x3 compiler responsibilities with four accepted return forms; general canonical Value input/binding and17 scalar type-identity cells live in schema-acceptance-cells.tsv.	ProgramCompiler::compile_document_artifact_with_inputs;ProgramCompiler::compile_document_artifact_with_input_initializers;ProgramCompiler::evaluate_static_document_symbols;ProgramCompiler::evaluate_static_document_symbols_with_inputs;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;ProgramCompiler::evaluate_static_tree_symbols;ProgramCompiler::evaluate_static_tree_symbols_with_inputs
P30	runtime planning conflicts	supplied input cannot shadow configured resource read	P06 provider read @provider/matrix plus explicit inputs map key @provider/matrix; use inputs/default/static methods.	Planning error names conflicting resource read; no live reads/effects; retry without conflicting supplied key succeeds.	untested-planning-conflict-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		Source guard exists at compiler.rs canonical_planning_context; no direct existing assertion found.	ProgramCompiler::compile_document_artifact_with_inputs;ProgramCompiler::compile_document_artifact_with_input_initializers;ProgramCompiler::evaluate_static_document_symbols;ProgramCompiler::evaluate_static_document_symbols_with_inputs;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;ProgramCompiler::evaluate_static_tree_symbols;ProgramCompiler::evaluate_static_tree_symbols_with_inputs
P31	runtime graph admission	shipping request wrapper preserves missing-root error classification	SourceRequest absent.mec and malformed SourceRequest through compile_root,compile_interactive_root,compile_mixed_root and canonical counterparts; runtime loaders preserve public class.	SourceRequest::validate runs before resolver; shipping root missing error retains its documented InvalidArtifact route class; canonical missing-root API diagnostic remains anchored to request responsibility.	untested-wrapper-error-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		C compile_root performs validation and route_failure before delegating; canonical root does not share that exact error wrapper.	ProgramCompiler::compile_root;ProgramCompiler::compile_interactive_root;ProgramCompiler::compile_canonical_mixed_root;ProgramCompiler::compile_mixed_root
P32	runtime interactive loader	existing-runtime interactive rooted projection keeps all root symbols	source41; answer=source+1; load_interactive_root_program on existing runtime.	ans42,answer42,source41; answer and source distinct binding IDs; initial result42.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:2751	interactive_root_loader_retains_document_symbols_and_reports_the_root_result	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::interactive_root_loader_retains_document_symbols_and_reports_the_root_result -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			ProgramCompiler::compile_canonical_interactive_root;ProgramCompiler::compile_canonical_interactive_resolved_root;ProgramCompiler::compile_canonical_interactive_root_with_options;ProgramCompiler::compile_canonical_interactive_resolved_root_with_options;ProgramCompiler::compile_interactive_root;ProgramCompilerView::compile_interactive_resolved_root
P33	runtime interactive candidate lifecycle	denied replacement preserves accepted live state	Canonical NoTimerGrantFactory accepts counter document; step2; replace by resource document without required grant.	Compilation retains configured resource requirement; denied activation leaves original source and counter snapshot unchanged.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:6296	canonical_interactive_uses_configured_resource_planning	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_interactive_uses_configured_resource_planning -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347	G22	Native factory only; G22 owns actual browser factory adoption.	ProgramCompiler::compile_canonical_interactive_root;ProgramCompiler::compile_canonical_interactive_resolved_root;ProgramCompiler::compile_canonical_interactive_root_with_options;ProgramCompiler::compile_canonical_interactive_resolved_root_with_options;ProgramCompiler::compile_interactive_document;ProgramCompiler::compile_interactive_tree;ProgramCompiler::compile_interactive_root;CanonicalSourceFrontend::compile_interactive_document_with_catalog;CanonicalSourceFrontend::compile_interactive_document_with_planning_contract;ProgramCompilerView::compile_interactive_source;ProgramCompilerView::compile_interactive_resolved_root
F01	engine expression frontend	expression lowering preserves typed graph and retained anchors	Typed canonical expression constructed from retained syntax.	Source operation graph and output retain exact document/revision/ranges; compile_artifact accepts corresponding graph.	existing-test-recorded-suite-pass	src/engine/tests/canonical_source_semantics.rs:304	typed_expression_builds_source_program_and_preserves_anchors	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_semantics typed_expression_builds_source_program_and_preserves_anchors -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		Expression construction only; semantic family witnesses are separate.	CanonicalSourceProgram::compile_artifact;CanonicalSourceFrontend::compile_expression
F02	engine definition frontend	definition annotations and mutable state preserve canonical type	Typed numeric/string/option definitions and ~state<u8>:=1 from test.	Literal/annotation schemas and state initializer types preserved; typed definition is not reinterpreted through an aggregate tree.	existing-test-recorded-suite-pass	src/engine/tests/canonical_source_semantics.rs:868	canonical_numeric_kinds_annotations_strings_and_state_are_preserved	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_semantics canonical_numeric_kinds_annotations_strings_and_state_are_preserved -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		Broad direct semantic checks; runtime subtype gaps stay in semantic register.	CanonicalSourceFrontend::compile_definition
F03	engine admission	recovered syntax cannot produce partial semantics	Retained document containing incomplete syntax.	Document containing answer := followed by newline rejects with source-semantics/recovered-syntax before a program is returned.	existing-test-recorded-suite-pass	src/engine/tests/canonical_source_semantics.rs:97	typed_document_rejects_recovered_source_before_semantics	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_semantics typed_document_rejects_recovered_source_before_semantics -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		Document witness plus shared reject_recovered_syntax call inspected at each typed frontend entry; add method-local recovery witness only if entry gains an independent admission path.	CanonicalSourceFrontend::compile_ordered_documents_with_catalog;CanonicalSourceFrontend::compile_expression;CanonicalSourceFrontend::compile_definition;CanonicalSourceFrontend::compile_document;CanonicalSourceFrontend::root_statement_nodes;CanonicalSourceFrontend::root_state_mutation_names;CanonicalSourceFrontend::compile_document_with_catalog;CanonicalSourceFrontend::compile_interactive_document_with_catalog;CanonicalSourceFrontend::compile_document_with_catalog_and_input_schemas;CanonicalSourceFrontend::compile_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_interactive_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_document_with_planning_contract;CanonicalSourceFrontend::compile_interactive_document_with_planning_contract;CanonicalSourceFrontend::compile_mixed_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_mixed_document_with_planning_contract;CanonicalSourceFrontend::compile_named_document_scope;CanonicalSourceFrontend::compile_mika_section;CanonicalSourceFrontend::compile_named_mika_scope
F04	engine document collection	root statements compile in source order	Root document definition and expression units.	For answer := 40 + 2; answer, exactly one output and one math/add node; output source-map document equals retained document identity; compile_artifact succeeds.	existing-test-recorded-suite-pass	src/engine/tests/canonical_source_semantics.rs:79	typed_document_compiles_definition_and_expression_units_in_source_order	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_semantics typed_document_compiles_definition_and_expression_units_in_source_order -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		One prior-definition dependency only; multiple state updates are independently witnessed in canonical_document_state.	CanonicalSourceFrontend::compile_document;CanonicalSourceFrontend::compile_document_with_catalog;CanonicalSourceFrontend::compile_interactive_document_with_catalog
F05	engine named document owners	named scopes are isolated and repeated fences share their owner	Two named interpreter scopes with repeated fences.	Each scope owns state; repeated same-name fences share it; parent/other named state not imported.	existing-test-recorded-suite-pass	src/engine/tests/canonical_document_state.rs:490	named_document_scopes_execute_separately_and_share_repeated_fences	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_document_state named_document_scopes_execute_separately_and_share_repeated_fences -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			CanonicalSourceFrontend::compile_named_document_scope
F06	engine named document owners	absent named owner never falls back to root	Request absent/empty named interpreter scope.	Explicit missing-owner error instead of compiling root statements.	existing-test-recorded-suite-pass	src/engine/tests/canonical_document_state.rs:509	absent_named_scopes_never_fall_back_to_the_root_program	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_document_state absent_named_scopes_never_fall_back_to_the_root_program -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			CanonicalSourceFrontend::compile_named_document_scope;CanonicalSourceFrontend::compile_named_mika_scope
F07	engine Mika ownership	Mika body state is local to exact retained section	Parent, sibling and nested Mika owners with repeated state names.	Each section executes only its own local state; root/child bindings cannot leak.	existing-test-recorded-suite-pass	src/engine/tests/canonical_document_state.rs:779	mika_bodies_execute_independently_of_parent_sibling_and_nested_state	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_document_state mika_bodies_execute_independently_of_parent_sibling_and_nested_state -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			CanonicalSourceFrontend::compile_mika_section
F08	engine named Mika ownership	named fences within Mika share only that Mika owner	Root worker scope and Mika worker scope with output options.	Same name across owners stays isolated; repeated local named fences share state and visibility options.	existing-test-recorded-suite-pass	src/engine/tests/canonical_document_state.rs:804	mika_named_fences_share_only_their_local_owner_and_keep_output_options	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_document_state mika_named_fences_share_only_their_local_owner_and_keep_output_options -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			CanonicalSourceFrontend::compile_named_mika_scope
F09	engine statement inspection	root statement nodes support transactional source removal	Semicolon-separated x/y definitions including CRLF; (x,y):=pair; z:=3; remove x alone versus tuple siblings together.	Clear x preserves y and separators; tuple partial clear rejects and source unchanged; joint clear preserves z.	existing-test-recorded-suite-pass	src/runtime/src/interactive.rs:1532	canonical_clear_preserves_same_line_statements_and_tuple_ownership	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib interactive::tests::canonical_clear_preserves_same_line_statements_and_tuple_ownership -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Exercises root_statement_nodes through real native clear consumer; not browser clear qualification.	CanonicalSourceFrontend::root_statement_nodes
F10	engine mutation inspection	root mutation census excludes inactive owners	Submit named,disabled,uncalled-function and Mika-local counter updates beside live root counter.	Inactive submissions preserve root snapshot; direct root mutation recomputes only targeted state.	existing-test-recorded-suite-pass	src/runtime/src/interactive.rs:1595	canonical_inactive_mutations_preserve_root_state	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib interactive::tests::canonical_inactive_mutations_preserve_root_state -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Indirectly exercises root_state_mutation_names through actual session consumer.	CanonicalSourceFrontend::root_state_mutation_names
F11	engine source input transport	input transport names are reversible and collision-free	Source names x,@ctx/path,Δ,mech-source-input-78.	Distinct encoded artifact names decode exactly and preserve original retained input anchor; source-context spelling does not resolve a provider.	existing-test-recorded-suite-pass	src/engine/tests/canonical_source_review.rs:537	input_interfaces_transport_source_identity_without_resolving_contexts	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review input_interfaces_transport_source_identity_without_resolving_contexts -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		Out-of-range ordinal None checked by F12.	CanonicalSourceProgram::artifact_input_name;CanonicalSourceProgram::compile_artifact;CanonicalSourceFrontend::compile_expression
F12	engine source input transport	out-of-range input ordinal returns no transport name	Compile expression x<u8>; artifact_input_name(0) returnsencodedx; artifact_input_name(1) and usize::MAX returnNone.	No panic and no synthesized identity for nonexistent ordinal.	untested-input-ordinal-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae			CanonicalSourceProgram::artifact_input_name
F13	engine constant binding	fixed imported snapshot specializes inferred matrix dimensions	Compile matrix<[u64]>; bind input0 to canonical U64 snapshots2x2,1x4,3x1.	Zero remaining inputs; output points to canonical constant; exact shape parameter values follow supplied dimensions.	existing-test-recorded-suite-pass	src/engine/tests/canonical_source_semantics.rs:2386	fixed_matrix_snapshots_bind_to_inferred_input_dimensions	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_semantics fixed_matrix_snapshots_bind_to_inferred_input_dimensions -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			CanonicalSourceProgram::bind_input_constants
F14	engine constant binding	resolved dependency export seals into canonical constant	Root imports dep export42 via retained SourceResolver and CanonicalDocumentCompilation.bind_resolved_imports.	No artifact inputs, no live compiler cell; activated result42.	existing-test-recorded-suite-pass	src/runtime/tests/canonical_declaration_handoff.rs:119	resolved_canonical_exports_can_be_sealed_into_artifact_constants	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test canonical_declaration_handoff resolved_canonical_exports_can_be_sealed_into_artifact_constants -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			CanonicalSourceProgram::bind_input_constants
F15	engine constant binding	binding errors and input renumbering preserve all reference owners	Canonical program with inputs a,b,c referenced separately in state initializer,node,output,constraint; bind b then a. Negative duplicate ordinal, out-of-range ordinal and incompatible schema snapshots.	Remaining c becomes ordinal0 consistently across all four owners and source_map; bound constants exact; duplicate/out-of-range/incompatible binding rejects at corresponding input anchor.	untested-binding-remap-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		Fixed-matrix and one-export witnesses do not establish the multi-input remapping/error cases.	ProgramCompiler::compile_document_artifact_with_inputs;ProgramCompiler::compile_document_artifact_with_input_initializers;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;CanonicalSourceProgram::bind_input_constants
F16	engine referenced input census	only executable references count across four source reference owners	Construct SourceProgram with inputs initializer,node-only,output-only,constraint-only,unused; reference each of first4 in its matching owner; no reference to fifth.	referenced_input_names exactly first4 names; duplicate references deduplicate; unused declaration omitted.	untested-reference-census-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		Current method loops four owner lists; source-level complex controls may also own captures and require checking in semantic control audit.	CanonicalSourceProgram::referenced_input_names
F17	engine resource binding	replacing a middle input with resource read rewires every reference	Program inputs a,b,c; b referenced by state initializer,node,output,constraint; bind_resource_input b to explicit request; then bindunknown. Compile artifact using configured external resolver.	b input removed; c index decremented; all prior nodes shifted1; state producer IDs shifted; every b use references new readnode0; unknown name gives source-semantics/unknown-resource-input.	untested-resource-remap-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		P08/P09 cover simple integrated resource binding; this cell enumerates its independent remapping branches.	ProgramCompiler::compile_document_artifact_with_inputs;ProgramCompiler::compile_document_artifact_with_input_initializers;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;CanonicalSourceProgram::bind_resource_input;CanonicalSourceFrontend::compile_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_interactive_document_with_catalog_and_resources
F18	engine artifact contracts	external contract resolver owns requirement-bearing operation contracts	Use configured read/write semantic program; resolver cases present matching contract, missing contract, mismatched capability/schema, nonexistent requirement ID; compare compile_artifact without external resolver.	Matching provider contract retained in artifact and roundtrip; missing/mismatched contract and nonexistent requirement reject before activation; no host read/write performed by resolution.	untested-external-contract-error-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		P08 covers configured success and runtime authorization; explicit resolver rejection branches are not covered by a no-input expression.	CanonicalSourceProgram::compile_artifact_with_external_contracts;CanonicalSourceFrontend::compile_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_interactive_document_with_catalog_and_resources
F19	engine schema override admission	supplied schema narrows only named inputs	compile_document_with_catalog_and_input_schemas source answer:=provided<[f32]:2,3>; override provided as2x3F32 (pass),3x2F32/incompatiblebool (reject); unrelated override key must not become live input.	Matching shape/type retained; conflicts reject at provided annotation; absent override keys add no source authority or live port.	untested-schema-override-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		P06 tests provider-shape path, not this public schema-only wrapper.	CanonicalSourceFrontend::compile_document_with_catalog_and_input_schemas
F20	engine static semantic projection	static projection retains state dependencies and anchors	unrelated7+8; ~answer40; answer+=2; other9+10; retain answer, then empty, then missing.	Pruned nodes retain sole answer state and aligned source maps; compile_artifact succeeds; empty projection has no nodes/state; missing binding yields positioned unknown-published-binding error.	existing-test-recorded-suite-pass	src/engine/tests/canonical_source_semantics.rs:2438	static_output_projection_retains_state_dependencies_and_source_identity	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_semantics static_output_projection_retains_state_dependencies_and_source_identity -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			ProgramCompiler::evaluate_static_document_symbols;ProgramCompiler::evaluate_static_document_symbols_with_inputs;ProgramCompiler::evaluate_static_tree_symbols;ProgramCompiler::evaluate_static_tree_symbols_with_inputs;CanonicalSourceProgram::compile_artifact;CanonicalSourceFrontend::compile_document_with_planning_contract;CanonicalSourceFrontend::compile_interactive_document_with_planning_contract
