export	overload-id	acceptance-group	candidate-layout	predicate-domain	kind-domain	configured-target-domain	source-exposure	recipe-form	source-recipe-json	boundary-cells	reference-oracle	implementation-authority	discovery-command	acceptance-status
compare/neq	26	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K1, dimensions: [D2, 1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/neq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-neq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/neq	27	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K1, dimensions: [1, D2] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/neq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-neq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/neq	28	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D2, 1] }, Matrix { element: K1, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/neq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-neq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/neq	29	C10	inputs: Fixed([Matrix { element: K0, dimensions: [1, D2] }, Matrix { element: K1, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/neq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-neq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/neq	30	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K1, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/neq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-neq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/neq	31	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K1, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D2, D3] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/neq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-neq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/seq	0	C11	inputs: Fixed([K0, K0]), outputs: [bool]	Equatable	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Internal	intrinsic-operator	"""answer := 1.0 === 2.0\nanswer\n"""	STRICT;LAYOUT;TURN;VISIBILITY	whole-value equality of identical semantic kinds; mixed kinds reject; no coercion	scheme.rs:417-452; numeric.rs strict comparisons	MECH_AUDIT_CASE=catalog-compare-seq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/seq	1	C11	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K0, dimensions: [D2, D3] }]), outputs: [bool]	Equatable	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Internal	intrinsic-operator	"""answer := 1.0 === 2.0\nanswer\n"""	STRICT;LAYOUT;TURN;VISIBILITY	whole-value equality of identical semantic kinds; mixed kinds reject; no coercion	scheme.rs:417-452; numeric.rs strict comparisons	MECH_AUDIT_CASE=catalog-compare-seq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/sneq	0	C11	inputs: Fixed([K0, K0]), outputs: [bool]	Equatable	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Internal	intrinsic-operator	"""answer := 1.0 !== 2.0\nanswer\n"""	STRICT;LAYOUT;TURN;VISIBILITY	whole-value equality of identical semantic kinds; mixed kinds reject; no coercion	scheme.rs:417-452; numeric.rs strict comparisons	MECH_AUDIT_CASE=catalog-compare-sneq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/sneq	1	C11	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K0, dimensions: [D2, D3] }]), outputs: [bool]	Equatable	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Internal	intrinsic-operator	"""answer := 1.0 !== 2.0\nanswer\n"""	STRICT;LAYOUT;TURN;VISIBILITY	whole-value equality of identical semantic kinds; mixed kinds reject; no coercion	scheme.rs:417-452; numeric.rs strict comparisons	MECH_AUDIT_CASE=catalog-compare-sneq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	0	C08	inputs: Fixed([bool, bool]), outputs: [bool]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	1	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	2	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, bool]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	3	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, 1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	4	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [1, D2] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	5	C08	inputs: Fixed([bool, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	6	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D2, 1] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	7	C08	inputs: Fixed([Matrix { element: bool, dimensions: [1, D2] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	8	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/and	9	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D2, D3] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/and(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-and ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/not	0	C09	inputs: Fixed([bool]), outputs: [bool]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/not(true)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	true->false and false->true	scheme.rs bool_unary; numeric.rs logical not binding	MECH_AUDIT_CASE=catalog-logic-not ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/not	1	C09	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/not(true)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	true->false and false->true	scheme.rs bool_unary; numeric.rs logical not binding	MECH_AUDIT_CASE=catalog-logic-not ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	0	C08	inputs: Fixed([bool, bool]), outputs: [bool]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	1	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	2	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, bool]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	3	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, 1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	4	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [1, D2] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	5	C08	inputs: Fixed([bool, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	6	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D2, 1] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	7	C08	inputs: Fixed([Matrix { element: bool, dimensions: [1, D2] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	8	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/or	9	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D2, D3] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/or(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-or ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	0	C08	inputs: Fixed([bool, bool]), outputs: [bool]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	1	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	2	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, bool]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	3	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, 1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	4	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [1, D2] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	5	C08	inputs: Fixed([bool, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	6	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D2, 1] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	7	C08	inputs: Fixed([Matrix { element: bool, dimensions: [1, D2] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	8	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
logic/xor	9	C08	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D2, D3] }]	exact/template	bool	bool	Prelude	named-call	"""answer := logic/xor(true, false)\nanswer\n"""	BOOL;LAYOUT;TURN;VISIBILITY	four-row truth table; boolean elementwise broadcast	scheme.rs bool_binary; numeric.rs semantic logical binding	MECH_AUDIT_CASE=catalog-logic-xor ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
