id	grammar-name	module	rust-function	classification	feature-gate	entry-point	output-type	parent-rules	child-rules	selection-behavior	termination	whitespace	spec-location	conformance-cases	implementation-path	notes
literals.complex-number	complex-number	literals	complex_number	production	always	parse	C64Node	none	tag,untyped-real-number	ordered-first-success	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:529	NUM-COMPLEX	src/syntax/src/literals.rs::complex_number	Constructs C64Node; implementation-derived inventory entry.
literals.real-number	real-number	literals	real_number	production	always	parse	RealNumber	none	none	ordered-first-success	optional component; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:446	NUM-INTEGER,NUM-TYPED,NUM-UNDERSCORE,NUM-FLOAT,NUM-LEADING-DOT,NUM-SCIENTIFIC,NUM-HEX,NUM-DECIMAL,NUM-OCTAL,NUM-BINARY,NUM-NEGATIVE,LEX-RATIONAL-TIGHT	src/syntax/src/literals.rs::real_number	Constructs RealNumber; implementation-derived inventory entry.
literals.untyped-real-number	untyped-real-number	literals	untyped_real_number	production	always	parse	RealNumber	complex-number	none	ordered-first-success	optional component; caller controls remainder	none directly; child rules may consume	not-located	NUM-COMPLEX	src/syntax/src/literals.rs::untyped_real_number	Constructs RealNumber; implementation-derived inventory entry.
literals.rational-literal	rational-literal	literals	rational_literal	production	always	parse	RealNumber	none	integer-literal,slash	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:493	LEX-RATIONAL-TIGHT	src/syntax/src/literals.rs::rational_literal	Constructs RealNumber; implementation-derived inventory entry.
literals.scientific-literal	scientific-literal	literals	scientific_literal	production	always	parse	RealNumber	none	float-literal,integer-literal,tag	ordered-first-success/manual-fallback	optional component; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:488	NUM-SCIENTIFIC	src/syntax/src/literals.rs::scientific_literal	Constructs RealNumber; implementation-derived inventory entry.
literals.float-decimal-start	float-decimal-start	literals	float_decimal_start	production	always	parse	RealNumber	none	digit-sequence,period	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:498	NUM-LEADING-DOT	src/syntax/src/literals.rs::float_decimal_start	Constructs RealNumber; implementation-derived inventory entry.
literals.float-full	float-full	literals	float_full	production	always	parse	RealNumber	none	digit-sequence,period	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:497	NUM-FLOAT	src/syntax/src/literals.rs::float_full	Constructs RealNumber; implementation-derived inventory entry.
literals.float-literal	float-literal	literals	float_literal	production	always	parse	RealNumber	scientific-literal	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:496	NUM-LEADING-DOT,NUM-FLOAT	src/syntax/src/literals.rs::float_literal	Constructs RealNumber; implementation-derived inventory entry.
literals.integer-literal	integer-literal	literals	integer_literal	production	always	parse	RealNumber	dot-subscript-int,rational-literal,scientific-literal	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:447	NUM-INTEGER,NUM-TYPED,NUM-UNDERSCORE,LEX-RATIONAL-TIGHT,NUM-SCIENTIFIC	src/syntax/src/literals.rs::integer_literal	Constructs RealNumber; implementation-derived inventory entry.
literals.typed-integer	typed-integer	literals	typed_integer	production	always	parse	RealNumber	none	digit-sequence,identifier	none	caller controls remainder	none directly; child rules may consume	not-located	NUM-TYPED	src/syntax/src/literals.rs::typed_integer	Constructs RealNumber; implementation-derived inventory entry.
literals.untyped-integer	untyped-integer	literals	untyped_integer	production	always	parse	RealNumber	none	digit-sequence	none	caller controls remainder	none directly; child rules may consume	not-located	NUM-INTEGER,NUM-UNDERSCORE	src/syntax/src/literals.rs::untyped_integer	Constructs RealNumber; implementation-derived inventory entry.
literals.decimal-literal	decimal-literal	literals	decimal_literal	production	always	parse	RealNumber	none	tag	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:448	NUM-DECIMAL	src/syntax/src/literals.rs::decimal_literal	Constructs RealNumber; implementation-derived inventory entry.
literals.hexadecimal-literal	hexadecimal-literal	literals	hexadecimal_literal	production	always	parse	RealNumber	none	tag	ordered-first-success	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:449	NUM-HEX	src/syntax/src/literals.rs::hexadecimal_literal	Constructs RealNumber; implementation-derived inventory entry.
literals.octal-literal	octal-literal	literals	octal_literal	production	always	parse	RealNumber	none	tag	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:450	NUM-OCTAL	src/syntax/src/literals.rs::octal_literal	Constructs RealNumber; implementation-derived inventory entry.
literals.binary-literal	binary-literal	literals	binary_literal	production	always	parse	RealNumber	none	tag	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:451	NUM-BINARY	src/syntax/src/literals.rs::binary_literal	Constructs RealNumber; implementation-derived inventory entry.
literals.left-angle	left-angle	literals	left_angle	production	always	parse	Token	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/literals.rs::left_angle	Constructs Token; implementation-derived inventory entry.
literals.right-angle	right-angle	literals	right_angle	production	always	parse	Token	grammar-peek,module-import	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/literals.rs::right_angle	Constructs Token; implementation-derived inventory entry.
literals.kind-annotation	kind-annotation	literals	kind_annotation	production	always	parse	KindAnnotation	enum-variant-inline-kind,enum-variant-kind,function-arg,function-define-match-arms,header-field,kind-define	kind-with-option	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:382	KIND-SCALAR,KIND-OPTION,KIND-COMPOUND,KIND-TABLE,KIND-KIND,KIND-ANY,KIND-EMPTY	src/syntax/src/literals.rs::kind_annotation	Constructs KindAnnotation; implementation-derived inventory entry.
literals.kind	kind	literals	kind	production	always	parse	Kind	kind-map,kind-set,kind-with-option	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:383	KIND-SCALAR,KIND-OPTION,KIND-COMPOUND,KIND-TABLE,KIND-KIND,KIND-ANY,KIND-EMPTY	src/syntax/src/literals.rs::kind	Constructs Kind; implementation-derived inventory entry.
literals.kind-with-option	kind-with-option	literals	kind_with_option	production	always	parse	Kind	kind-annotation,kind-kind,kind-matrix	kind	none	optional component; caller controls remainder	none directly; child rules may consume	not-located	KIND-OPTION	src/syntax/src/literals.rs::kind_with_option	Constructs Kind; implementation-derived inventory entry.
literals.kind-kind	kind-kind	literals	kind_kind	production	always	parse	Kind	none	kind-with-option	none	caller controls remainder	none directly; child rules may consume	not-located	KIND-KIND	src/syntax/src/literals.rs::kind_kind	Constructs Kind; implementation-derived inventory entry.
literals.kind-table	kind-table	literals	kind_table	production	always	parse	Kind	none	bar,tuple	ordered-first-success	separator-delimited repetition; caller controls remainder	none directly; child rules may consume	not-located	KIND-TABLE	src/syntax/src/literals.rs::kind_table	Constructs Kind; implementation-derived inventory entry.
literals.kind-any	kind-any	literals	kind_any	production	always	parse	Kind	none	asterisk	none	caller controls remainder	none directly; child rules may consume	not-located	KIND-ANY	src/syntax/src/literals.rs::kind_any	Constructs Kind; implementation-derived inventory entry.
literals.kind-empty	kind-empty	literals	kind_empty	production	always	parse	Kind	none	none	none	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:391	KIND-EMPTY	src/syntax/src/literals.rs::kind_empty	Constructs Kind; implementation-derived inventory entry.
literals.kind-atom	kind-atom	literals	kind_atom	production	always	parse	Kind	none	colon,identifier	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:392	KIND-COMPOUND	src/syntax/src/literals.rs::kind_atom	Constructs Kind; implementation-derived inventory entry.
literals.kind-set	kind-set	literals	kind_set	production	always	parse	Kind	none	kind,left-brace,right-brace,tag	none	optional component; caller controls remainder	none directly; child rules may consume	not-located	KIND-COMPOUND	src/syntax/src/literals.rs::kind_set	Constructs Kind; implementation-derived inventory entry.
literals.kind-map	kind-map	literals	kind_map	production	always	parse	Kind	none	colon,kind,left-brace,right-brace	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:393	KIND-COMPOUND	src/syntax/src/literals.rs::kind_map	Constructs Kind; implementation-derived inventory entry.
literals.kind-record	kind-record	literals	kind_record	production	always	parse	Kind	none	left-brace,right-brace,tag,whitespace0	ordered-first-success	separator-delimited repetition; caller controls remainder	whitespace0; whitespace0/1 include newlines	not-located	KIND-COMPOUND	src/syntax/src/literals.rs::kind_record	Constructs Kind; implementation-derived inventory entry.
literals.kind-matrix	kind-matrix	literals	kind_matrix	production	always	parse	Kind	none	kind-with-option,left-bracket,right-bracket	none	separator-delimited repetition; caller controls remainder	none directly; child rules may consume	not-located	KIND-COMPOUND	src/syntax/src/literals.rs::kind_matrix	Constructs Kind; implementation-derived inventory entry.
literals.kind-tuple	kind-tuple	literals	kind_tuple	production	always	parse	Kind	none	left-parenthesis,right-parenthesis	none	separator-delimited repetition; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:415	KIND-COMPOUND	src/syntax/src/literals.rs::kind_tuple	Constructs Kind; implementation-derived inventory entry.
literals.kind-scalar	kind-scalar	literals	kind_scalar	production	always	parse	Kind	none	identifier,tuple	none	optional component; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:418	KIND-SCALAR	src/syntax/src/literals.rs::kind_scalar	Constructs Kind; implementation-derived inventory entry.
structures.max-err		structures	max_err	helper/parser-control	always	parse	ParseError<'a>	none	none	none	caller controls remainder	none directly; child rules may consume	not-applicable	not-applicable	src/syntax/src/structures.rs::max_err	Implementation helper or semantic operation; consumes no standalone grammar rule.
structures.structure	structure	structures	structure	production	always	parse	Structure	factor	empty-map,empty-set,map,matrix,record,set,table,tuple,tuple-struct	manual-fallback	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:640	STRUCT-MATRIX,STRUCT-TUPLE,STRUCT-TUPLE-STRUCT,STRUCT-RECORD,STRUCT-MAP,STRUCT-SET,STRUCT-EMPTY-SET,STRUCT-EMPTY-MAP,STRUCT-TABLE	src/syntax/src/structures.rs::structure	Constructs Structure; implementation-derived inventory entry.
structures.matrix	matrix	structures	matrix	production	always	parse	Matrix	structure	grammar-peek,matrix-row,whitespace0	ordered-first-success/manual-fallback/peek-gated	manual loop with explicit delimiter or progress condition	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:679	STRUCT-MATRIX	src/syntax/src/structures.rs::matrix	Constructs Matrix; implementation-derived inventory entry.
structures.matrix-column	matrix-column	structures	matrix_column	production	always	parse	MatrixColumn	none	expression,space-tab0	ordered-first-success	optional component; caller controls remainder	space-tab0	docs/design/specification.mec:670	STRUCT-MATRIX	src/syntax/src/structures.rs::matrix_column	Constructs MatrixColumn; implementation-derived inventory entry.
structures.matrix-row	matrix-row	structures	matrix_row	production	always	parse	MatrixRow	matrix	space-tab0	none	repetition stops on recoverable child failure; caller controls remainder	space-tab0	docs/design/specification.mec:673	STRUCT-MATRIX	src/syntax/src/structures.rs::matrix_row	Constructs MatrixRow; implementation-derived inventory entry.
structures.matrix-start	matrix-start	structures	matrix_start	production	always	parse	Token	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/structures.rs::matrix_start	Constructs Token; implementation-derived inventory entry.
structures.matrix-end	matrix-end	structures	matrix_end	production	always	parse	Token	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/structures.rs::matrix_end	Constructs Token; implementation-derived inventory entry.
structures.table	table	structures	table	production	always	parse	Table	structure	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:922	STRUCT-TABLE	src/syntax/src/structures.rs::table	Constructs Table; implementation-derived inventory entry.
structures.fancy-table	fancy-table	structures	fancy_table	production	always	parse	Table	none	fancy-table-header,table-separator,table-top	ordered-first-success	separator-delimited repetition; caller controls remainder	none directly; child rules may consume	not-located	TABLE-FANCY	src/syntax/src/structures.rs::fancy_table	Constructs Table; implementation-derived inventory entry.
structures.fancy-table-header	fancy-table-header	structures	fancy_table_header	production	always	parse	Vec<Field>	fancy-table	table-separator,whitespace0	none	separator-delimited repetition; caller controls remainder	whitespace0; whitespace0/1 include newlines	not-located	TABLE-FANCY	src/syntax/src/structures.rs::fancy_table_header	Constructs Vec<Field>; implementation-derived inventory entry.
structures.row-separator	row-separator	structures	row_separator	production	always	parse	TableRow	none	space-tab0	ordered-first-success	repetition stops on recoverable child failure; caller controls remainder	space-tab0	not-located	TABLE-FANCY	src/syntax/src/structures.rs::row_separator	Constructs TableRow; implementation-derived inventory entry.
structures.table-top	table-top	structures	table_top	production	always	parse	()	fancy-table	new-line,table-start	none	repetition stops on recoverable child failure; caller controls remainder	new-line	not-located	TABLE-FANCY	src/syntax/src/structures.rs::table_top	Constructs (); implementation-derived inventory entry.
structures.table-bottom		structures	table_bottom	helper/not-grammar	always	internal-only	()	none	table-end	none	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	not-applicable	not-applicable	src/syntax/src/structures.rs::table_bottom	Private parser-shaped helper with no caller at the audited baseline; fancy_table never invokes it, so it is not accepted-language grammar.
structures.inline-table	inline-table	structures	inline_table	production	always	parse	Table	none	inline-table-header,space-tab0,table-separator	none	repetition stops on recoverable child failure; caller controls remainder	space-tab0	not-located	STRUCT-TABLE	src/syntax/src/structures.rs::inline_table	Constructs Table; implementation-derived inventory entry.
structures.inline-table-row	inline-table-row	structures	inline_table_row	production	always	parse	TableRow	none	space-tab0,table-separator	none	repetition stops on recoverable child failure; caller controls remainder	space-tab0	not-located	STRUCT-TABLE	src/syntax/src/structures.rs::inline_table_row	Constructs TableRow; implementation-derived inventory entry.
structures.regular-table	regular-table	structures	regular_table	production	always	parse	Table	none	table-header,table-separator,whitespace0	none	separator-delimited repetition; caller controls remainder	whitespace0; whitespace0/1 include newlines	not-located	TABLE-REGULAR	src/syntax/src/structures.rs::regular_table	Constructs Table; implementation-derived inventory entry.
structures.table-header	table-header	structures	table_header	production	always	parse	Vec<Field>	regular-table	space-tab0,table-separator,whitespace0	none	separator-delimited repetition; caller controls remainder	space-tab0,whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:946	TABLE-REGULAR	src/syntax/src/structures.rs::table_header	Constructs Vec<Field>; implementation-derived inventory entry.
structures.inline-table-header	inline-table-header	structures	inline_table_header	production	always	parse	Vec<Field>	inline-table	space-tab0,table-separator	none	separator-delimited repetition; caller controls remainder	space-tab0	not-located	STRUCT-TABLE	src/syntax/src/structures.rs::inline_table_header	Constructs Vec<Field>; implementation-derived inventory entry.
structures.table-row2	table-row2	structures	table_row2	production	always	parse	TableRow	none	space-tab0,table-separator	none	separator-delimited repetition; caller controls remainder	space-tab0	not-located	TABLE-FANCY	src/syntax/src/structures.rs::table_row2	Constructs TableRow; implementation-derived inventory entry.
structures.table-row	table-row	structures	table_row	production	always	parse	TableRow	none	space-tab0,table-separator	none	separator-delimited repetition; caller controls remainder	space-tab0	docs/design/specification.mec:940	TABLE-REGULAR	src/syntax/src/structures.rs::table_row	Constructs TableRow; implementation-derived inventory entry.
structures.table-column	table-column	structures	table_column	production	always	parse	TableColumn	none	expression,space-tab0	ordered-first-success	optional component; caller controls remainder	space-tab0	docs/design/specification.mec:935	LOWER-TABLE-COLUMN	src/syntax/src/structures.rs::table_column	Constructs TableColumn; implementation-derived inventory entry.
structures.header-field	header-field	structures	header_field	production	always	parse	Field	none	identifier,kind-annotation	none	caller controls remainder	none directly; child rules may consume	not-located	STRUCT-TABLE,TABLE-REGULAR	src/syntax/src/structures.rs::header_field	Constructs Field; implementation-derived inventory entry.
structures.field	field	structures	field	production	always	parse	Field	none	identifier	none	optional component; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:950	TABLE-FANCY	src/syntax/src/structures.rs::field	Constructs Field; implementation-derived inventory entry.
structures.box-drawing-char	box-drawing-char	structures	box_drawing_char	production	always	parse	Token	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/structures.rs::box_drawing_char	Constructs Token; implementation-derived inventory entry.
structures.box-drawing-emoji	box-drawing-emoji	structures	box_drawing_emoji	production	always	parse	Token	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/structures.rs::box_drawing_emoji	Constructs Token; implementation-derived inventory entry.
structures.table-start	table-start	structures	table_start	production	always	parse	Token	table-top	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/structures.rs::table_start	Constructs Token; implementation-derived inventory entry.
structures.table-end	table-end	structures	table_end	production	always	parse	Token	row-separator	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/structures.rs::table_end	Constructs Token; implementation-derived inventory entry.
structures.table-separator	table-separator	structures	table_separator	production	always	parse	Token	fancy-table,fancy-table-header,inline-table,inline-table-header,inline-table-row,regular-table,table-header,table-row,table-row2	space-tab0	ordered-first-success	caller controls remainder	space-tab0	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/structures.rs::table_separator	Constructs Token; implementation-derived inventory entry.
structures.table-horz	table-horz	structures	table_horz	production	always	parse	Token	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	ALTERNATIVE-TERMINAL-CONTRACTS	src/syntax/src/structures.rs::table_horz	Constructs Token; implementation-derived inventory entry.
structures.empty-map	empty-map	structures	empty_map	production	always	parse	Map	structure	colon,left-brace,right-brace,whitespace0	none	caller controls remainder	whitespace0; whitespace0/1 include newlines	not-located	STRUCT-EMPTY-MAP	src/syntax/src/structures.rs::empty_map	Constructs Map; implementation-derived inventory entry.
structures.map	map	structures	map	production	always	parse	Map	import-group-separator,literal,module-import-alias,module-import-value-alias,module-suffix-import,number,structure	whitespace0	none	repetition stops on recoverable child failure; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:839	STRUCT-MAP	src/syntax/src/structures.rs::map	Constructs Map; implementation-derived inventory entry.
structures.mapping	mapping	structures	mapping	production	always	parse	Mapping	none	colon,expression,whitespace0	none	optional component; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:844	STRUCT-MAP	src/syntax/src/structures.rs::mapping	Constructs Mapping; implementation-derived inventory entry.
structures.record	record	structures	record	production	always	parse	Record	structure	whitespace0	none	repetition stops on recoverable child failure; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:1017	STRUCT-RECORD	src/syntax/src/structures.rs::record	Constructs Record; implementation-derived inventory entry.
structures.binding	binding	structures	binding	production	always	parse	Binding	none	colon,identifier,whitespace0	none	optional component; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:930	STRUCT-RECORD	src/syntax/src/structures.rs::binding	Constructs Binding; implementation-derived inventory entry.
structures.empty-set	empty-set	structures	empty_set	production	always	parse	Set	structure	left-brace,right-brace,whitespace0	none	optional component; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:782	STRUCT-EMPTY-SET	src/syntax/src/structures.rs::empty_set	Constructs Set; implementation-derived inventory entry.
structures.set	set	structures	set	production	always	parse	Set	structure	whitespace0	ordered-first-success	separator-delimited repetition; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:764	STRUCT-SET,STRUCT-SET-WHITESPACE	src/syntax/src/structures.rs::set	Constructs Set; implementation-derived inventory entry.
structures.tuple	tuple	structures	tuple	production	always	parse	Tuple	code-block,code-terminal,figures-row,footnote,footnote-reference,grammar-range,grammar-terminal-token,hyperlink,img,inline-code,inline-equation,kind-scalar,kind-table,mechdown-table-header,mechdown-table-row,ordered-list,raw-hyperlink,strong,structure,unordered-list-item	left-parenthesis,right-parenthesis,whitespace0	none	separator-delimited repetition; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:893	STRUCT-TUPLE	src/syntax/src/structures.rs::tuple	Constructs Tuple; implementation-derived inventory entry.
structures.tuple-struct	tuple-struct	structures	tuple_struct	production	always	parse	TupleStruct	structure	colon,expression,identifier,left-parenthesis,right-parenthesis,whitespace0	none	caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:894	STRUCT-TUPLE-STRUCT	src/syntax/src/structures.rs::tuple_struct	Constructs TupleStruct; implementation-derived inventory entry.
expressions.expression	expression	expressions	expression	production	always	parse	Expression	activation-arm,call-arg,call-arg-with-binding,comprehension-qualifier,eval-inline-mech-code,function-match-arm,generator,mapping,match-arm,matrix-column,matrix-comprehension,mech-code-alt,pattern,set-comprehension,table-column,tuple-destructure,tuple-struct	formula,fsm-pipe,matrix-comprehension,question,range-expression,set-comprehension,whitespace0	manual-fallback	repetition stops on recoverable child failure; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:1078	EXPR-FSM-PIPE,EXPR-SET-COMPREHENSION,EXPR-MATRIX-COMPREHENSION,EXPR-RANGE,EXPR-MATCH-SELECTION,EXPR-FORMULA	src/syntax/src/expressions.rs::expression	Constructs Expression; implementation-derived inventory entry.
expressions.match-expression	match-expression	expressions	match_expression	production	always	parse	MatchExpression	none	factor,question,whitespace0	none	repetition stops on recoverable child failure; caller controls remainder	whitespace0; whitespace0/1 include newlines	docs/design/specification.mec:1232	MATCH,MATCH-GUARD	src/syntax/src/expressions.rs::match_expression	Constructs MatchExpression; implementation-derived inventory entry.
expressions.match-arm	match-arm	expressions	match_arm	production	always	parse	MatchArm	none	expression,guard-operator,output-operator,pattern	ordered-first-success	optional component; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1237	MATCH,MATCH-GUARD	src/syntax/src/expressions.rs::match_arm	Constructs MatchArm; implementation-derived inventory entry.
expressions.formula	formula	expressions	formula	production	always	parse	Factor	expression,formula-subscript,range-expression	l1	none	caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1105	OP-AND-VARIANTS,OP-COMPARE-TIGHT,EXPR-FORMULA,OP-MULTIPLY-VARIANTS,OP-MATRIX-TIGHT,OP-POWER-TIGHT,OP-INNER-JOIN,OP-UNION	src/syntax/src/expressions.rs::formula	Constructs Factor; implementation-derived inventory entry.
expressions.l1	l1	expressions	l1	production	always	parse	Factor	formula	l2	prefix-committed	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1106	OP-AND-VARIANTS	src/syntax/src/expressions.rs::l1	Constructs Factor; implementation-derived inventory entry.
expressions.l2	l2	expressions	l2	production	always	parse	Factor	l1	l3	prefix-committed	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1107	OP-COMPARE-TIGHT	src/syntax/src/expressions.rs::l2	Constructs Factor; implementation-derived inventory entry.
expressions.l3	l3	expressions	l3	production	always	parse	Factor	l2	l4	prefix-committed	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1108	EXPR-FORMULA	src/syntax/src/expressions.rs::l3	Constructs Factor; implementation-derived inventory entry.
expressions.l4	l4	expressions	l4	production	always	parse	Factor	l3	l5	ordered-first-success/prefix-committed	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1109	OP-MULTIPLY-VARIANTS,OP-MATRIX-TIGHT	src/syntax/src/expressions.rs::l4	Constructs Factor; implementation-derived inventory entry.
expressions.l5	l5	expressions	l5	production	always	parse	Factor	l4	l6	prefix-committed	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1110	OP-POWER-TIGHT	src/syntax/src/expressions.rs::l5	Constructs Factor; implementation-derived inventory entry.
expressions.l6	l6	expressions	l6	production	always	parse	Factor	l5	l7	prefix-committed	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1111	OP-INNER-JOIN	src/syntax/src/expressions.rs::l6	Constructs Factor; implementation-derived inventory entry.
expressions.l7	l7	expressions	l7	production	always	parse	Factor	l6	factor	prefix-committed	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1112	OP-UNION	src/syntax/src/expressions.rs::l7	Constructs Factor; implementation-derived inventory entry.
expressions.factor	factor	expressions	factor	production	always	parse	Factor	l7,match-expression,negate-factor,not-factor	function-call,literal,matrix-comprehension,negate-factor,not-factor,parenthetical-term,slice,structure,var	manual-fallback	optional component; caller controls remainder	none directly; child rules may consume	docs/design/specification.mec:1113	FACTOR-PARENTHETICAL,FACTOR-NEGATE,FACTOR-NOT-BANG,FACTOR-NOT-NEGATE,FACTOR-TRANSPOSE,FACTOR-MATRIX-COMPREHENSION-ORDINARY,FACTOR-STRUCTURE-ORDINARY,FUNCTION-MATCH-ARMS,EXPR-FORMULA,FACTOR-SLICE-ORDINARY,OP-INNER-JOIN	src/syntax/src/expressions.rs::factor	Constructs Factor; implementation-derived inventory entry.
expressions.parenthetical-term	parenthetical-term	expressions	parenthetical_term	production	always	parse	Factor	factor	space-tab0	none	caller controls remainder	space-tab0	docs/design/specification.mec:1102	FACTOR-PARENTHETICAL	src/syntax/src/expressions.rs::parenthetical_term	Constructs Factor; implementation-derived inventory entry.
expressions.context-address-path-token	context-address-path-token	expressions	context_address_path_token	production	always	parse	Token	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	CONTEXT-SEND	src/syntax/src/expressions.rs::context_address_path_token	Constructs Token; implementation-derived inventory entry.
expressions.context-address-path	context-address-path	expressions	context_address_path	production	always	parse	Identifier	prefixed-context-path	none	none	repetition stops on recoverable child failure; caller controls remainder	none directly; child rules may consume	not-located	CONTEXT-SEND	src/syntax/src/expressions.rs::context_address_path	Constructs Identifier; implementation-derived inventory entry.
expressions.prefixed-context-path	prefixed-context-path	expressions	prefixed_context_path	production	always	parse	(Identifier, Identifier)	slice,slice-ref,var	at,context-address-path,identifier-path-segment,slash	none	caller controls remainder	none directly; child rules may consume	not-located	CONTEXT-SEND	src/syntax/src/expressions.rs::prefixed_context_path	Constructs (Identifier, Identifier); implementation-derived inventory entry.
expressions.var	var	expressions	var	production	always	parse	Var	context-send,factor,variable-define	identifier,prefixed-context-path	manual-fallback	optional component; caller controls remainder	none directly; child rules may consume	not-located	CONTEXT-SEND	src/syntax/src/expressions.rs::var	Constructs Var; implementation-derived inventory entry.
expressions.statement-separator	statement-separator	expressions	statement_separator	terminal	always	parse	()	none	none	none	caller controls remainder	none directly; child rules may consume	not-located	FUNCTION-MULTI-OUTPUT	src/syntax/src/expressions.rs::statement_separator	Recognizes a terminal/operator form and returns ().
expressions.add-sub-operator	add-sub-operator	expressions	add_sub_operator	production	always	parse	FormulaOperator	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	EXPR-FORMULA,OP-ADD-SPACED	src/syntax/src/expressions.rs::add_sub_operator	Constructs FormulaOperator; implementation-derived inventory entry.
expressions.mul-div-operator	mul-div-operator	expressions	mul_div_operator	production	always	parse	FormulaOperator	none	none	ordered-first-success	caller controls remainder	none directly; child rules may consume	not-located	OP-MULTIPLY-VARIANTS,OP-DIVIDE-VARIANTS,OP-MODULUS	src/syntax/src/expressions.rs::mul_div_operator	Constructs FormulaOperator; implementation-derived inventory entry.
expressions.power-operator	power-operator	expressions	power_operator	production	always	parse	FormulaOperator	none	power	none	caller controls remainder	none directly; child rules may consume	not-located	OP-POWER-TIGHT	src/syntax/src/expressions.rs::power_operator	Constructs FormulaOperator; implementation-derived inventory entry.
