removal-id	kind	source-path	surface	preparation-owner	c-action	test-disposition	replacement-contract	blocker	status	evidence-sha	evidence-result	completion-action
test:src/engine/src/statements/tests/variable_define.rs	test	src/engine/src/statements/tests/variable_define.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/structures.rs	test	src/engine/src/structures.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	maintained structure evaluation assertions	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/engine/tests/canonical_document_state.rs	test	src/engine/tests/canonical_document_state.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/tests/canonical_source_semantics.rs	test	src/engine/tests/canonical_source_semantics.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/tests/op_assign_feature_gates.rs	test	src/engine/tests/op_assign_feature_gates.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/tests/program.rs	test	src/engine/tests/program.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/tests/r5_memory_plan.rs	test	src/engine/tests/r5_memory_plan.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/tests/r6_memory_runtime.rs	test	src/engine/tests/r6_memory_runtime.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/tests/resident_activation_contract.rs	test	src/engine/tests/resident_activation_contract.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/runtime/src/resolver/imports.rs	test	src/runtime/src/resolver/imports.rs	direct retiring parser caller or embedded test helper	A	retarget retired interface; preserve maintained behavior	retarget	import parsing and source resolution error assertions	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/runtime/src/runtime/program/tests.rs	test	src/runtime/src/runtime/program/tests.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	compiler inputs, static values, mixed compute and module resolution assertions	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/runtime/src/runtime/module/tests/source_document_transfer.rs	test	src/runtime/src/runtime/module/tests/source_document_transfer.rs	legacy tree present only as an adversarial no-fallback regression	A	retarget retired interface; preserve maintained behavior	retarget	invalid canonical authority remains non-admissible even while the pre-cutover record carries a legacy tree	canonical replacement entry points reject before C removes the legacy field	inventoried	pending	preparation incomplete	replace-surface
test:src/runtime/src/runtime/transaction/tests/modules/staging.rs	test	src/runtime/src/runtime/transaction/tests/modules/staging.rs	direct fragment assertions or module-store cache/transaction assertions	A	retarget only retired source interfaces; preserve maintained behavior	retarget	canonical fragment or retained-source transaction witnesses	explicit assertion-level migration required	inventoried	pending	preparation incomplete	replace-surface
test:src/runtime/src/runtime/transaction/tests/store/commit.rs	test	src/runtime/src/runtime/transaction/tests/store/commit.rs	direct fragment assertions or module-store cache/transaction assertions	A	retarget only retired source interfaces; preserve maintained behavior	retarget	canonical fragment or retained-source transaction witnesses	explicit assertion-level migration required	inventoried	pending	preparation incomplete	replace-surface
test:src/runtime/src/store.rs	test	src/runtime/src/store.rs	direct fragment assertions or module-store cache/transaction assertions	A	retarget only retired source interfaces; preserve maintained behavior	retarget	canonical fragment or retained-source transaction witnesses	explicit assertion-level migration required	inventoried	pending	preparation incomplete	replace-surface
test:src/runtime/src/store_prepared_commit_tests.rs	test	src/runtime/src/store_prepared_commit_tests.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/runtime/tests/canonical_document_outputs.rs	test	src/runtime/tests/canonical_document_outputs.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/runtime/tests/canonical_source_index.rs	test	src/runtime/tests/canonical_source_index.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/stdlib/tests/source_op_assign_contract.rs	test	src/stdlib/tests/source_op_assign_contract.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/stdlib/tests/type_system_source.rs	test	src/stdlib/tests/type_system_source.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/src/expression_operator_parity.rs	test	src/syntax/src/expression_operator_parity.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/src/import_module_parity.rs	test	src/syntax/src/import_module_parity.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/src/statement_phase_2f_parity.rs	test	src/syntax/src/statement_phase_2f_parity.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/src/statement_phase_2g_parity.rs	test	src/syntax/src/statement_phase_2g_parity.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/src/structure_phase_2h_parity.rs	test	src/syntax/src/structure_phase_2h_parity.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/canonical_base_contracts.rs	test	src/syntax/tests/canonical_base_contracts.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain lexical acceptance, grapheme boundaries and lossless children; replace legacy extent and fixed-terminal oracles with specification expectations	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_base_lowering_parity.rs	test	src/syntax/tests/canonical_base_lowering_parity.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain specified lexical values and source ranges; replace old-parser lowering comparisons	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_escaped_character_parity.rs	test	src/syntax/tests/canonical_escaped_character_parity.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain escaped-character acceptance and extended-grapheme rejection; remove legacy acceptance oracle	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_grammar.rs	test	src/syntax/tests/canonical_grammar.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/canonical_grammar_fragments.rs	test	src/syntax/tests/canonical_grammar_fragments.rs	direct fragment assertions or module-store cache/transaction assertions	A	retarget only retired source interfaces; preserve maintained behavior	retarget	canonical fragment or retained-source transaction witnesses	explicit assertion-level migration required	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_grammar_properties.rs	test	src/syntax/tests/canonical_grammar_properties.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/canonical_grammar_recovery.rs	test	src/syntax/tests/canonical_grammar_recovery.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/canonical_graphemes.rs	test	src/syntax/tests/canonical_graphemes.rs	grouped or glob retiring parser import	A	retarget maintained assertions with canonical specification expectations	retarget	retain canonical grapheme boundaries; retire old-parser extent comparisons	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_import_grammar_correction.rs	test	src/syntax/tests/canonical_import_grammar_correction.rs	grouped or glob retiring parser import	A	retarget maintained assertions with canonical specification expectations	retarget	retain specified import grammar acceptance and rejection	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_literal_closed_rules.rs	test	src/syntax/tests/canonical_literal_closed_rules.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain closed literal shapes and rational prefix boundaries; replace legacy extent comparisons	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_literal_lowering_parity.rs	test	src/syntax/tests/canonical_literal_lowering_parity.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain specified numeric and string values and ranges; replace old-parser lowering comparisons	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_mechdown_closed_rules.rs	test	src/syntax/tests/canonical_mechdown_closed_rules.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain physical-newline, typed-view and recovery contracts; replace legacy prefix comparisons	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_mechdown_lowering_parity.rs	test	src/syntax/tests/canonical_mechdown_lowering_parity.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain specified Mechdown values and ranges; replace old-parser lowering comparisons	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_module_import_lowering.rs	test	src/syntax/tests/canonical_module_import_lowering.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain canonical module-import fields and ranges; replace legacy module_import oracle	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_operator_lowering_parity.rs	test	src/syntax/tests/canonical_operator_lowering_parity.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain specified operator values and ranges; replace old-parser lowering comparisons	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_phase_2i_certification.rs	test	src/syntax/tests/canonical_phase_2i_certification.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/canonical_primitive_kind_rules.rs	test	src/syntax/tests/canonical_primitive_kind_rules.rs	direct retiring grammar exports and ParseString/ParseResult	A	retarget maintained assertions with canonical specification expectations	retarget	retain primitive-kind acceptance and typed children; replace old-parser kind-value comparisons	assertion-level migration during C deletion	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_source_import_lowering.rs	test	src/syntax/tests/canonical_source_import_lowering.rs	grouped or glob retiring parser import	A	retarget maintained assertions with canonical specification expectations	retarget	retain canonical import projections; retire old-parser lowering comparison	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/canonical_source_import_validation.rs	test	src/syntax/tests/canonical_source_import_validation.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/compute_regions.rs	test	src/syntax/tests/compute_regions.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/context_parser.rs	test	src/syntax/tests/context_parser.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/document_diagnostics.rs	test	src/syntax/tests/document_diagnostics.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/document_fragments.rs	test	src/syntax/tests/document_fragments.rs	direct fragment assertions or module-store cache/transaction assertions	A	retarget only retired source interfaces; preserve maintained behavior	retarget	canonical fragment or retained-source transaction witnesses	explicit assertion-level migration required	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/document_parser.rs	test	src/syntax/tests/document_parser.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/document_recovery_mutations.rs	test	src/syntax/tests/document_recovery_mutations.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/formatter.rs	test	src/syntax/tests/formatter.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/grammar_conformance.rs	test	src/syntax/tests/grammar_conformance.rs	grouped or glob retiring parser import	A	retarget maintained assertions with canonical specification expectations	retarget	retain specification-based grammar conformance; remove retiring parser oracle	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/syntax/tests/grammar_corpus.rs	test	src/syntax/tests/grammar_corpus.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/grammar_rule_graph.rs	test	src/syntax/tests/grammar_rule_graph.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/module_imports.rs	test	src/syntax/tests/module_imports.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/syntax/tests/source_parser_consumer_inventory.rs	test	src/syntax/tests/source_parser_consumer_inventory.rs	source assertions or candidate source/AST dependency found by textual scan	A	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
wasm-repl-transfer	cache	src/wasm/src/repl.rs	activate_tree Program parameter; WasmRepl ResidentReplSession::from_tree initialization	B	adopt retained documents through prepared interactive loading	retarget	preserve browser transactional REPL, event ordering, pending requests and session termination tests	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
workspace-cache	cache	src/runtime/src/workspace/snapshot.rs	workspace syntax tree and source cache projections	A	retain source revision used by render and compilation	retarget	SourceDocument	serve and loader integration B	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
workspace-load-transfer	cache	src/runtime/src/workspace/load.rs	collect_loaded_modules and source_snapshot copy version.syntax_tree into workspace snapshots	A	retarget retired interface; preserve maintained behavior	retarget	share the exact retained document revision; malformed/deferred source remains reportable	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/runtime/src/runtime/program/bundle.rs	test	src/runtime/src/runtime/program/bundle.rs	retired payload rejection regression constructs an old syntax-tree payload	B	replace payload construction with a retained invalid-payload fixture when retiring the parser	retarget	canonical bundle decoding rejects old syntax payloads with an explicit regeneration diagnostic	C parser retirement	inventoried	pending	preparation incomplete	replace-surface
